"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"36",NA,"FLUSHING AVE & NAVY YARD","AVE","FLUSHING AVE & NAVY YARD AVE","FLUSHING AVE & NAVY YARD AVE","FLUSHING AVE & NAVY YARD AVE","FLUSHING AVE & NAVY YARD AVE"
"37",NA,"BAKER MYRTLE & NOSTRAND AVE","AVE","BAKER MYRTLE & NOSTRAND AVE","BAKER MYRTLE & NOSTRAND AVE","BAKER MYRTLE & NOSTRAND AVE","BAKER MYRTLE & NOSTRAND AVE"
"38",130,"N BROAD Y H 101 STATE","ST","130 N BROAD Y H 101 STATE ST","130 N BROAD Y H 101 STATE ST","130 N BROAD Y H 101ST STATE ST","130 N BROAD Y H 101ST STATE ST"
"39",99,"STATE .","ST","99 STATE . ST","99 STATE . ST","99 STATE . ST","99 STATE . ST"
"40",176,"YORK Â¢ GREEN JANE","ST","176 YORK Â¢ GREEN JANE ST","176 YORK Â¢ GREEN JANE ST","176 YORK Â¢ GREEN JANE ST","176 YORK Â¢ GREEN JANE ST"
"41",8,"TILLARY","ST","8 TILLARY ST","8 TILLARY ST","8 TILLARY ST","8 TILLARY ST"
"42",NA,"LABORER 22D & 3D AVE GOWANUS","AVE","LABORER 22D & 3D AVE GOWANUS AVE","LABORER 22D & 3D AVE GOWANUS AVE","LABORER 22NDD & 3D AVE GOWANUS AVE","LABORER 22NDD & 3D AVE GOWANUS AVE"
"43",NA,"GARDENER PACIFIC & OXFORD","ST","GARDENER PACIFIC & OXFORD ST","GARDENER PACIFIC & OXFORD ST","GARDENER PACIFIC & OXFORD ST","GARDENER PACIFIC & OXFORD ST"
"44",NA,"HUDSON AVE & LAFAYETTE","AVE","HUDSON AVE & LAFAYETTE AVE","HUDSON AVE & LAFAYETTE AVE","HUDSON AVE & LAFAYETTE AVE","HUDSON AVE & LAFAYETTE AVE"
"45",210,"ATLANTIC","ST","210 ATLANTIC ST","210 ATLANTIC ST","210 ATLANTIC ST","210 ATLANTIC ST"
"46",NA,"BUTLER & SMITH","ST","BUTLER & SMITH ST","BUTLER & SMITH ST","BUTLER & SMITH ST","BUTLER & SMITH ST"
"47",NA,"YÂ¥ H 321 HENRY","ST","YÂ¥ H 321 HENRY ST","YÂ¥ H 321 HENRY ST","YÂ¥ H 321ST HENRY ST","YÂ¥ H 321ST HENRY ST"
"48",34,"WYCKOFF","ST","34 WYCKOFF ST","34 WYCKOFF ST","34 WYCKOFF ST","34 WYCKOFF ST"
"49",15,"HOYT & STATE","ST","15 HOYT & STATE ST","15 HOYT & STATE ST","15 HOYT & STATE ST","15 HOYT & STATE ST"
"50",163,"PEARL","ST","163 PEARL ST","163 PEARL ST","163 PEARL ST","163 PEARL ST"
"51",346,"FULTON OP ADAMS","ST","346 FULTON OP ADAMS ST","346 FULTON OP ADAMS ST","346 FULTON OP ADAMS ST","346 FULTON OP ADAMS ST"
"52",41,"GOLD","ST","41 GOLD ST","41 GOLD ST","41 GOLD ST","41 GOLD ST"
"53",108,"HIGH","ST","108 HIGH ST","108 HIGH ST","108 HIGH ST","108 HIGH ST"
"54",6,"MONTAGUE PL","PL","6 MONTAGUE PL","6 MONTAGUE PL","6 MONTAGUE PL","6 MONTAGUE PL"
"55",NA,"COOPER JAY & FRONT","ST","COOPER JAY & FRONT ST","COOPER JAY & FRONT ST","COOPER JAY & FRONT ST","COOPER JAY & FRONT ST"
"56",109,"HIGH","ST","109 HIGH ST","109 HIGH ST","109 HIGH ST","109 HIGH ST"
"57",NA,"PRINTER SANDS & NAVY","ST","PRINTER SANDS & NAVY ST","PRINTER SANDS & NAVY ST","PRINTER SANDS & NAVY ST","PRINTER SANDS & NAVY ST"
"58",80,"N WALL Â¥ H 107 CONCORD","ST","80 N WALL Â¥ H 107 CONCORD ST","80 N WALL Â¥ H 107 CONCORD ST","80 N WALL Â¥ H 107TH CONCORD ST","80 N WALL Â¥ H 107TH CONCORD ST"
"59",40,"PRINCE","ST","40 PRINCE ST","40 PRINCE ST","40 PRINCE ST","40 PRINCE ST"
"60",94,"SANDS .","ST","94 SANDS . ST","94 SANDS . ST","94 SANDS . ST","94 SANDS . ST"
"61",NA,"PAINTER FRONT & DAY","ST","PAINTER FRONT & DAY ST","PAINTER FRONT & DAY ST","PAINTER FRONT & DAY ST","PAINTER FRONT & DAY ST"
"62",NA,"GROCER FRONT Â¢ JAY","ST","GROCER FRONT Â¢ JAY ST","GROCER FRONT Â¢ JAY ST","GROCER FRONT Â¢ JAY ST","GROCER FRONT Â¢ JAY ST"
"63",NA,"GROCER 2ISTST & 4 AVE GOWANUS","AVE","GROCER 2ISTST & 4 AVE GOWANUS AVE","GROCER 2ISTST & 4 AVE GOWANUS AVE","GROCER 2NDISTST & 4 AVE GOWANUS AVE","GROCER 2NDISTST & 4 AVE GOWANUS AVE"
"64",203,"N BROADWAY Y H CLINTON","AVE","203 N BROADWAY Y H CLINTON AVE","TWO HUNDRED THREE N BROADWAY Y H CLINTON AVE","203 N BROADWAY Y H CLINTON AVE","TWO HUNDRED THREE N BROADWAY Y H CLINTON AVE"
"65",35,"","ST","35  ST","35  ST","35  ST","35  ST"
"66",NA,"","ST",NA,NA,NA,NA
"67",296,"ATLANTIC","ST","296 ATLANTIC ST","296 ATLANTIC ST","296 ATLANTIC ST","296 ATLANTIC ST"
"68",NA,"","ST",NA,NA,NA,NA
"69",90,"N FRONT Y H 113 LIVINGSTON","ST","90 N FRONT Y H 113 LIVINGSTON ST","90 N FRONT Y H 113 LIVINGSTON ST","90 N FRONT Y H 113TH LIVINGSTON ST","90 N FRONT Y H 113TH LIVINGSTON ST"
"70",100,"ORANGE","ST","100 ORANGE ST","100 ORANGE ST","100 ORANGE ST","100 ORANGE ST"
"71",98,"DUFFIELD","ST","98 DUFFIELD ST","98 DUFFIELD ST","98 DUFFIELD ST","98 DUFFIELD ST"
"72",NA,"AGENT FOR THE HIRE OF REAL ESTATE 69 CRANBERRY","ST","AGENT FOR THE HIRE OF REAL ESTATE 69 CRANBERRY ST","AGENT FOR THE HIRE OF REAL ESTATE 69 CRANBERRY ST","AGENT FOR THE HIRE OF REAL ESTATE 69TH CRANBERRY ST","AGENT FOR THE HIRE OF REAL ESTATE 69TH CRANBERRY ST"
"73",21,"CARLTON ALY","ALY","21 CARLTON ALY","21 CARLTON ALY","21 CARLTON ALY","21 CARLTON ALY"
"74",NA,"FLUSHING AVE","AVE","FLUSHING AVE","FLUSHING AVE","FLUSHING AVE","FLUSHING AVE"
"75",NA,"CARMAN CLASSON & MYRTLE AVE","AVE","CARMAN CLASSON & MYRTLE AVE","CARMAN CLASSON & MYRTLE AVE","CARMAN CLASSON & MYRTLE AVE","CARMAN CLASSON & MYRTLE AVE"
"76",NA,"MYRTLE & CLASSON AVE","AVE","MYRTLE & CLASSON AVE","MYRTLE & CLASSON AVE","MYRTLE & CLASSON AVE","MYRTLE & CLASSON AVE"
"77",118,"GOLD","ST","118 GOLD ST","118 GOLD ST","118 GOLD ST","118 GOLD ST"
"78",73,"PROSPECT","ST","73 PROSPECT ST","73 PROSPECT ST","73 PROSPECT ST","73 PROSPECT ST"
"79",265,"HUDSON ALY .","ALY","265 HUDSON ALY . ALY","265 HUDSON ALY . ALY","265 HUDSON ALY . ALY","265 HUDSON ALY . ALY"
"80",104,"N WALL Â¥ H 33 CRANBERRY","ST","104 N WALL Â¥ H 33 CRANBERRY ST","104 N WALL Â¥ H 33 CRANBERRY ST","104 N WALL Â¥ H 33RD CRANBERRY ST","104 N WALL Â¥ H 33RD CRANBERRY ST"
"81",NA,"","ST",NA,NA,NA,NA
"82",NA,"LIVINGSTON & HOYT","ST","LIVINGSTON & HOYT ST","LIVINGSTON & HOYT ST","LIVINGSTON & HOYT ST","LIVINGSTON & HOYT ST"
"83",258,"[UDSON AVE","AVE","258 [UDSON AVE","TWO HUNDRED FIFTY-EIGHT [UDSON AVE","258 [UDSON AVE","TWO HUNDRED FIFTY-EIGHT [UDSON AVE"
"84",180,"YORK","ST","180 YORK ST","180 YORK ST","180 YORK ST","180 YORK ST"
"85",217,"ADAMSÂ€™","ST","217 ADAMSÂ€™ ST","217 ADAMSÂ€™ ST","217 ADAMSÂ€™ ST","217 ADAMSÂ€™ ST"
"86",43,"ADELPHI","ST","43 ADELPHI ST","43 ADELPHI ST","43 ADELPHI ST","43 ADELPHI ST"
"87",57,"YORK","ST","57 YORK ST","57 YORK ST","57 YORK ST","57 YORK ST"
"88",NA,"CARVER HUDSON Â¢ DE KALB ALY","ALY","CARVER HUDSON Â¢ DE KALB ALY","CARVER HUDSON Â¢ DE KALB ALY","CARVER HUDSON Â¢ DE KALB ALY","CARVER HUDSON Â¢ DE KALB ALY"
"89",NA,"DEAN & POWERS","ST","DEAN & POWERS ST","DEAN & POWERS ST","DEAN & POWERS ST","DEAN & POWERS ST"
"90",NA,"AVE & FRANKLIN AVE","AVE","AVE & FRANKLIN AVE","AVE & FRANKLIN AVE","AVE & FRANKLIN AVE","AVE & FRANKLIN AVE"
"91",NA,"FLUSHING AVE Â¢ GRAHAM","AVE","FLUSHING AVE Â¢ GRAHAM AVE","FLUSHING AVE Â¢ GRAHAM AVE","FLUSHING AVE Â¢ GRAHAM AVE","FLUSHING AVE Â¢ GRAHAM AVE"
"92",227,"ATLANTIC","ST","227 ATLANTIC ST","227 ATLANTIC ST","227 ATLANTIC ST","227 ATLANTIC ST"
"93",NA,"ROPEMAKER KENT & FLUSHING AVE","AVE","ROPEMAKER KENT & FLUSHING AVE","ROPEMAKER KENT & FLUSHING AVE","ROPEMAKER KENT & FLUSHING AVE","ROPEMAKER KENT & FLUSHING AVE"
"94",137,"N FRONT YH 116 JOHNSON","ST","137 N FRONT YH 116 JOHNSON ST","137 N FRONT YH 116 JOHNSON ST","137 N FRONT YH 116TH JOHNSON ST","137 N FRONT YH 116TH JOHNSON ST"
"95",98,"ILENRY","ST","98 ILENRY ST","98 ILENRY ST","98 ILENRY ST","98 ILENRY ST"
"96",36,"TILLARY","ST","36 TILLARY ST","36 TILLARY ST","36 TILLARY ST","36 TILLARY ST"
"97",137,"N FRONT Y H 307 BRG","BRG","137 N FRONT Y H 307 BRG","137 N FRONT Y H 307 BRG","137 N FRONT Y H 307TH BRG","137 N FRONT Y H 307TH BRG"
"98",156,"N BROADWAY YÂ¥ H CLINTON AVE","AVE","156 N BROADWAY YÂ¥ H CLINTON AVE","ONE HUNDRED FIFTY-SIX N BROADWAY YÂ¥ H CLINTON AVE","156 N BROADWAY YÂ¥ H CLINTON AVE","ONE HUNDRED FIFTY-SIX N BROADWAY YÂ¥ H CLINTON AVE"
"99",NA,"","ST",NA,NA,NA,NA
"100",58,"58 N JOHN Â¥H ATLANTIC & nan","ST","58 58 N JOHN Â¥H ATLANTIC & NAN ST","58 58 N JOHN Â¥H ATLANTIC & NAN ST","58 58TH N JOHN Â¥H ATLANTIC & NAN ST","58 58TH N JOHN Â¥H ATLANTIC & NAN ST"
"101",NA,"PLYMOUTH CH H 197 WASHINGTON","ST","PLYMOUTH CH H 197 WASHINGTON ST","PLYMOUTH CH H 197 WASHINGTON ST","PLYMOUTH CH H 197TH WASHINGTON ST","PLYMOUTH CH H 197TH WASHINGTON ST"
"102",121,"HICKS [INGTON","ST","121 HICKS [INGTON ST","121 HICKS [INGTON ST","121 HICKS [INGTON ST","121 HICKS [INGTON ST"
"103",61,"N LIBERTY Â¥ H 73 LIVINGSTON","ST","61 N LIBERTY Â¥ H 73 LIVINGSTON ST","61 N LIBERTY Â¥ H 73 LIVINGSTON ST","61 N LIBERTY Â¥ H 73RD LIVINGSTON ST","61 N LIBERTY Â¥ H 73RD LIVINGSTON ST"
"104",56,"STANTON","ST","56 STANTON ST","56 STANTON ST","56 STANTON ST","56 STANTON ST"
"105",43,"FULTON H 72 SANDS","ST","43 FULTON H 72 SANDS ST","43 FULTON H 72 SANDS ST","43 FULTON H 72ND SANDS ST","43 FULTON H 72ND SANDS ST"
"106",NA,"GOLD & FULTON ALY","ALY","GOLD & FULTON ALY","GOLD & FULTON ALY","GOLD & FULTON ALY","GOLD & FULTON ALY"
"107",26,"N JOBN YH 102 NASEAU","ST","26 N JOBN YH 102 NASEAU ST","26 N JOBN YH 102 NASEAU ST","26 N JOBN YH 102ND NASEAU ST","26 N JOBN YH 102ND NASEAU ST"
"108",153,"PROSPECT","ST","153 PROSPECT ST","153 PROSPECT ST","153 PROSPECT ST","153 PROSPECT ST"
"109",65,"POPLAR","ST","65 POPLAR ST","65 POPLAR ST","65 POPLAR ST","65 POPLAR ST"
"110",45,"FULTON H 103 WILLOUGHBY","ST","45 FULTON H 103 WILLOUGHBY ST","45 FULTON H 103 WILLOUGHBY ST","45 FULTON H 103RD WILLOUGHBY ST","45 FULTON H 103RD WILLOUGHBY ST"
"111",305,"GOLD","ST","305 GOLD ST","305 GOLD ST","305 GOLD ST","305 GOLD ST"
"112",NA,"PARK & VANDERBILT AVE","AVE","PARK & VANDERBILT AVE","PARK & VANDERBILT AVE","PARK & VANDERBILT AVE","PARK & VANDERBILT AVE"
"113",NA,"KENT & FLUSHING AVE","AVE","KENT & FLUSHING AVE","KENT & FLUSHING AVE","KENT & FLUSHING AVE","KENT & FLUSHING AVE"
"114",NA,"","ST",NA,NA,NA,NA
"115",33,"COTTAGE ROW FURMAN","ROW","33 COTTAGE ROW FURMAN ROW","33 COTTAGE ROW FURMAN ROW","33 COTTAGE ROW FURMAN ROW","33 COTTAGE ROW FURMAN ROW"
"116",52,"STATE","ST","52 STATE ST","52 STATE ST","52 STATE ST","52 STATE ST"
"117",NA,"","ST",NA,NA,NA,NA
"118",NA,"CLINTON & MYRTLE AVE","AVE","CLINTON & MYRTLE AVE","CLINTON & MYRTLE AVE","CLINTON & MYRTLE AVE","CLINTON & MYRTLE AVE"
"119",56,"BALTIC","ST","56 BALTIC ST","56 BALTIC ST","56 BALTIC ST","56 BALTIC ST"
"120",108,"ATLANTIC","ST","108 ATLANTIC ST","108 ATLANTIC ST","108 ATLANTIC ST","108 ATLANTIC ST"
"121",NA,"YÂ¥ H 103 HADSON AVE","AVE","YÂ¥ H 103 HADSON AVE","YÂ¥ H 103 HADSON AVE","YÂ¥ H 103RD HADSON AVE","YÂ¥ H 103RD HADSON AVE"
"122",NA,"FLUSHING AVE & NAVY","AVE","FLUSHING AVE & NAVY AVE","FLUSHING AVE & NAVY AVE","FLUSHING AVE & NAVY AVE","FLUSHING AVE & NAVY AVE"
"123",16,"MYRTLE AVE","AVE","16 MYRTLE AVE","SIXTEEN MYRTLE AVE","16 MYRTLE AVE","SIXTEEN MYRTLE AVE"
"124",209,"HENRY","ST","209 HENRY ST","209 HENRY ST","209 HENRY ST","209 HENRY ST"
"125",NA,"HICKS & LUQUEER","ST","HICKS & LUQUEER ST","HICKS & LUQUEER ST","HICKS & LUQUEER ST","HICKS & LUQUEER ST"
"126",NA,"N YH 125 HIGH","ST","N YH 125 HIGH ST","N YH 125 HIGH ST","N YH 125TH HIGH ST","N YH 125TH HIGH ST"
"127",NA,"OF AMITY H 35 DOUGLASS","ST","OF AMITY H 35 DOUGLASS ST","OF AMITY H 35 DOUGLASS ST","OF AMITY H 35TH DOUGLASS ST","OF AMITY H 35TH DOUGLASS ST"
"128",219,"FRONT","ST","219 FRONT ST","219 FRONT ST","219 FRONT ST","219 FRONT ST"
"129",NA,"3D AVE & 27","AVE","3D AVE & 27 AVE","3D AVE & 27 AVE","3RDD AVE & 27 AVE","3RDD AVE & 27 AVE"
"130",96,"96 FRONT & MAIN","ST","96 96 FRONT & MAIN ST","96 96 FRONT & MAIN ST","96 96TH FRONT & MAIN ST","96 96TH FRONT & MAIN ST"
"131",53,"FULTON","ST","53 FULTON ST","53 FULTON ST","53 FULTON ST","53 FULTON ST"
"132",NA,"","ST",NA,NA,NA,NA
"133",NA,"CARMAN PLYMOUTH & PEARL","PL","CARMAN PLYMOUTH & PEARL PL","CARMAN PLYMOUTH & PEARL PL","CARMAN PLYMOUTH & PEARL PL","CARMAN PLYMOUTH & PEARL PL"
"134",257,"N PEARL Â¥H 57 JOHNSON","ST","257 N PEARL Â¥H 57 JOHNSON ST","257 N PEARL Â¥H 57 JOHNSON ST","257 N PEARL Â¥H 57TH JOHNSON ST","257 N PEARL Â¥H 57TH JOHNSON ST"
"135",217,"PEARL","ST","217 PEARL ST","217 PEARL ST","217 PEARL ST","217 PEARL ST"
"136",NA,"","ST",NA,NA,NA,NA
"137",63,"ATLANTIC H 61 CT","CT","63 ATLANTIC H 61 CT","63 ATLANTIC H 61 CT","63 ATLANTIC H 61ST CT","63 ATLANTIC H 61ST CT"
"138",63,"ATLANTIC H HICKS B","ST","63 ATLANTIC H HICKS B ST","63 ATLANTIC H HICKS B ST","63 ATLANTIC H HICKS B ST","63 ATLANTIC H HICKS B ST"
"139",36,"36 NAVY & PARK ALY","PARK","36 36 NAVY & PARK ALY PARK","36 36 NAVY & PARK ALY PARK","36 36TH NAVY & PARK ALY PARK","36 36TH NAVY & PARK ALY PARK"
"140",63,"ATLANTIC","ST","63 ATLANTIC ST","63 ATLANTIC ST","63 ATLANTIC ST","63 ATLANTIC ST"
"141",56,"ATLANTIC","ST","56 ATLANTIC ST","56 ATLANTIC ST","56 ATLANTIC ST","56 ATLANTIC ST"
"142",NA,"6KELSEYÂ€™S ALY","ALY","6KELSEYÂ€™S ALY","6KELSEYÂ€™S ALY","6THKELSEYÂ€™S ALY","6THKELSEYÂ€™S ALY"
"143",7,"MIDDAGH","ST","7 MIDDAGH ST","7 MIDDAGH ST","7 MIDDAGH ST","7 MIDDAGH ST"
"144",279,"GOLD","ST","279 GOLD ST","279 GOLD ST","279 GOLD ST","279 GOLD ST"
"145",NA,"KENT AVE NORTH","AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE"
"146",8,", 3 MIDDAGH","ST","8 , 3 MIDDAGH ST","8 , 3 MIDDAGH ST","8 , 3RD MIDDAGH ST","8 , 3RD MIDDAGH ST"
"147",19,".","ST","19 . ST","19 . ST","19 . ST","19 . ST"
"148",1,"MCKENNEY","ST","1 MCKENNEY ST","1 MCKENNEY ST","1 MCKENNEY ST","1 MCKENNEY ST"
"149",295,"PROSPECT","ST","295 PROSPECT ST","295 PROSPECT ST","295 PROSPECT ST","295 PROSPECT ST"
"150",43,"TALMAN","ST","43 TALMAN ST","43 TALMAN ST","43 TALMAN ST","43 TALMAN ST"
"151",10,"VINE","ST","10 VINE ST","10 VINE ST","10 VINE ST","10 VINE ST"
"152",275,"N BROADWAY Â¥ H 393 ATLANTIC","AVE","275 N BROADWAY Â¥ H 393 ATLANTIC AVE","TWO HUNDRED SEVENTY-FIVE N BROADWAY Â¥ H 393 ATLANTIC AVE","275 N BROADWAY Â¥ H 393RD ATLANTIC AVE","TWO HUNDRED SEVENTY-FIVE N BROADWAY Â¥ H 393RD ATLANTIC AVE"
"153",50,"MIDDAGH {TIONARY 262 FULTON","ST","50 MIDDAGH {TIONARY 262 FULTON ST","50 MIDDAGH {TIONARY 262 FULTON ST","50 MIDDAGH {TIONARY 262ND FULTON ST","50 MIDDAGH {TIONARY 262ND FULTON ST"
"154",NA,"STA","ST","STA ST","STA ST","STA ST","STA ST"
"155",3,"YORK","ST","3 YORK ST","3 YORK ST","3 YORK ST","3 YORK ST"
"156",NA,"FLUSHING & KENT AVE","AVE","FLUSHING & KENT AVE","FLUSHING & KENT AVE","FLUSHING & KENT AVE","FLUSHING & KENT AVE"
"157",NA,"TILLARY & CANTON","ST","TILLARY & CANTON ST","TILLARY & CANTON ST","TILLARY & CANTON ST","TILLARY & CANTON ST"
"158",NA,"KEEPER OF THE PENITENTIARY CROWHILL","ST","KEEPER OF THE PENITENTIARY CROWHILL ST","KEEPER OF THE PENITENTIARY CROWHILL ST","KEEPER OF THE PENITENTIARY CROWHILL ST","KEEPER OF THE PENITENTIARY CROWHILL ST"
"159",77,"YORK .","ST","77 YORK . ST","77 YORK . ST","77 YORK . ST","77 YORK . ST"
"160",167,"YORK","ST","167 YORK ST","167 YORK ST","167 YORK ST","167 YORK ST"
"161",1,"TILLARY Â¢ FULTON","ST","1 TILLARY Â¢ FULTON ST","1 TILLARY Â¢ FULTON ST","1 TILLARY Â¢ FULTON ST","1 TILLARY Â¢ FULTON ST"
"162",16,"COTTAGE ROW FURMAN","ROW","16 COTTAGE ROW FURMAN ROW","16 COTTAGE ROW FURMAN ROW","16 COTTAGE ROW FURMAN ROW","16 COTTAGE ROW FURMAN ROW"
"163",150,"150 N FRONT YH CLERMONT & nan","ST","150 150 N FRONT YH CLERMONT & NAN ST","150 150 N FRONT YH CLERMONT & NAN ST","150 150TH N FRONT YH CLERMONT & NAN ST","150 150TH N FRONT YH CLERMONT & NAN ST"
"164",15,"PROSPECT [FULTON AVE","AVE","15 PROSPECT [FULTON AVE","FIFTEEN PROSPECT [FULTON AVE","15 PROSPECT [FULTON AVE","FIFTEEN PROSPECT [FULTON AVE"
"165",95,"PROSPECT","ST","95 PROSPECT ST","95 PROSPECT ST","95 PROSPECT ST","95 PROSPECT ST"
"166",NA,"SACKETT & CLINTON","ST","SACKETT & CLINTON ST","SACKETT & CLINTON ST","SACKETT & CLINTON ST","SACKETT & CLINTON ST"
"167",110,"HUDSON AVE","AVE","110 HUDSON AVE","ONE HUNDRED TEN HUDSON AVE","110 HUDSON AVE","ONE HUNDRED TEN HUDSON AVE"
"168",114,"HUDSON AVE","AVE","114 HUDSON AVE","ONE HUNDRED FOURTEEN HUDSON AVE","114 HUDSON AVE","ONE HUNDRED FOURTEEN HUDSON AVE"
