"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"35",NA,"HICKS & SACKETT , BROOKLYN","ST","HICKS & SACKETT , BROOKLYN ST","HICKS & SACKETT , BROOKLYN ST","HICKS & SACKETT , BROOKLYN ST","HICKS & SACKETT , BROOKLYN ST"
"36",244,"5ECND","ST","244 5ECND ST","244 5ECND ST","244 5THECND ST","244 5THECND ST"
"37",104,"GRND","ST","104 GRND ST","104 GRND ST","104 GRND ST","104 GRND ST"
"38",NA,"HARSIMUS","ST","HARSIMUS ST","HARSIMUS ST","HARSIMUS ST","HARSIMUS ST"
"39",41,"AVE H","AVE","41 AVE H AVE","FORTY-ONE AVE H AVE","41 AVE H AVE","FORTY-ONE AVE H AVE"
"40",NA,"POKEEPSIE","ST","POKEEPSIE ST","POKEEPSIE ST","POKEEPSIE ST","POKEEPSIE ST"
"41",40,"AVE H","AVE","40 AVE H AVE","FORTY AVE H AVE","40 AVE H AVE","FORTY AVE H AVE"
"42",NA,"ESSEX & RIVINGTON","ST","ESSEX & RIVINGTON ST","ESSEX & RIVINGTON ST","ESSEX & RIVINGTON ST","ESSEX & RIVINGTON ST"
"43",NA,"WMSBURG","ST","WMSBURG ST","WMSBURG ST","WMSBURG ST","WMSBURG ST"
"44",651,"WASHGTN","ST","651 WASHGTN ST","651 WASHGTN ST","651 WASHGTN ST","651 WASHGTN ST"
"45",15,"AVE H","AVE","15 AVE H AVE","FIFTEEN AVE H AVE","15 AVE H AVE","FIFTEEN AVE H AVE"
"46",28,"AVE H","AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE"
"47",NA,"8 MAIDEN LN,H.","LN","8 MAIDEN LN,H. LN","8 MAIDEN LN,H. LN","8TH MAIDEN LN,H. LN","8TH MAIDEN LN,H. LN"
"48",42,"AVE H","AVE","42 AVE H AVE","FORTY-TWO AVE H AVE","42 AVE H AVE","FORTY-TWO AVE H AVE"
"49",NA,"31 & AVE. A","AVE","31 & AVE. A AVE","31 & AVE. A AVE","31ST & AVE. A AVE","31ST & AVE. A AVE"
"50",85,"PITT","ST","85 PITT ST","85 PITT ST","85 PITT ST","85 PITT ST"
"51",NA,"WMSBRG","ST","WMSBRG ST","WMSBRG ST","WMSBRG ST","WMSBRG ST"
"52",NA,"WMSBURGH","ST","WMSBURGH ST","WMSBURGH ST","WMSBURGH ST","WMSBURGH ST"
"53",NA,"WMSBGH","ST","WMSBGH ST","WMSBGH ST","WMSBGH ST","WMSBGH ST"
"54",NA,"FORTIETBET 7 AND 8","ST","FORTIETBET 7 AND 8 ST","FORTIETBET 7 AND 8 ST","FORTIETBET 7TH AND 8 ST","FORTIETBET 7TH AND 8 ST"
"55",NA,"W 22 & AVE H 8","AVE","W 22 & AVE H 8 AVE","W 22 & AVE H 8 AVE","W 22ND & AVE H 8 AVE","W 22ND & AVE H 8 AVE"
"56",NA,"CARLTON","ST","CARLTON ST","CARLTON ST","CARLTON ST","CARLTON ST"
"57",NA,"W R 37 & AVE H 9","AVE","W R 37 & AVE H 9 AVE","W R 37 & AVE H 9 AVE","W R 37TH & AVE H 9 AVE","W R 37TH & AVE H 9 AVE"
"58",154,"FRANKLN","ST","154 FRANKLN ST","154 FRANKLN ST","154 FRANKLN ST","154 FRANKLN ST"
"59",23,"AVE H","AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE"
"60",23,"AVE H","AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE"
"61",NA,"BROADWAY & E 27","AVE","BROADWAY & E 27 AVE","BROADWAY & E 27 AVE","BROADWAY & E 27TH AVE","BROADWAY & E 27TH AVE"
"62",NA,"BROADWAY & 28","AVE","BROADWAY & 28 AVE","BROADWAY & 28 AVE","BROADWAY & 28TH AVE","BROADWAY & 28TH AVE"
"63",NA,"Ã¢ÂÂ","ST","Ã¢ÂÂ ST","Ã¢ÂÂ ST","Ã¢ÂÂ ST","Ã¢ÂÂ ST"
"64",NA,"Ã¢ÂÂ","ST","Ã¢ÂÂ ST","Ã¢ÂÂ ST","Ã¢ÂÂ ST","Ã¢ÂÂ ST"
"65",175,"CANA1","ST","175 CANA1 ST","175 CANA1 ST","175 CANA1ST ST","175 CANA1ST ST"
"66",24,"AVE H","AVE","24 AVE H AVE","TWENTY-FOUR AVE H AVE","24 AVE H AVE","TWENTY-FOUR AVE H AVE"
"67",NA,"H. EARLES","ST","H. EARLES ST","H. EARLES ST","H. EARLES ST","H. EARLES ST"
"68",NA,"POKEEPSIE","ST","POKEEPSIE ST","POKEEPSIE ST","POKEEPSIE ST","POKEEPSIE ST"
"69",35,"AVE H","AVE","35 AVE H AVE","THIRTY-FIVE AVE H AVE","35 AVE H AVE","THIRTY-FIVE AVE H AVE"
"70",NA,"Ã¢ÂÂ G.WICH","ST","Ã¢ÂÂ G.WICH ST","Ã¢ÂÂ G.WICH ST","Ã¢ÂÂ G.WICH ST","Ã¢ÂÂ G.WICH ST"
"71",25,"AVE H","AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE"
"72",20,"AVE H","AVE","20 AVE H AVE","TWENTY AVE H AVE","20 AVE H AVE","TWENTY AVE H AVE"
"73",NA,"R139","ST","R139 ST","R139 ST","R139TH ST","R139TH ST"
"74",NA,"H. EARLES","ST","H. EARLES ST","H. EARLES ST","H. EARLES ST","H. EARLES ST"
"75",NA,"H EARLES","ST","H EARLES ST","H EARLES ST","H EARLES ST","H EARLES ST"
"76",25,"AVE H","AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE"
"77",15,"AVE H","AVE","15 AVE H AVE","FIFTEEN AVE H AVE","15 AVE H AVE","FIFTEEN AVE H AVE"
"78",81,"AVE H","AVE","81 AVE H AVE","EIGHTY-ONE AVE H AVE","81 AVE H AVE","EIGHTY-ONE AVE H AVE"
"79",NA,"REMSEN & CLINTON , BROOKLYN","ST","REMSEN & CLINTON , BROOKLYN ST","REMSEN & CLINTON , BROOKLYN ST","REMSEN & CLINTON , BROOKLYN ST","REMSEN & CLINTON , BROOKLYN ST"
"80",40,"BROADWAY","AVE","40 BROADWAY AVE","FORTY BROADWAY AVE","40 BROADWAY AVE","FORTY BROADWAY AVE"
"81",NA,"656","ST","656 ST","656 ST","656TH ST","656TH ST"
"82",32,"AVE H","AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE"
"83",32,"AVE H","AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE"
"84",25,"2","ST","25 2 ST","25 2 ST","25 2ND ST","25 2ND ST"
"85",325,"SPRING","ST","325 SPRING ST","325 SPRING ST","325 SPRING ST","325 SPRING ST"
"86",NA,"CARLTON","ST","CARLTON ST","CARLTON ST","CARLTON ST","CARLTON ST"
"87",25,"AVE H","AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE"
"88",NA,"SING SING","ST","SING SING ST","SING SING ST","SING SING ST","SING SING ST"
"89",NA,"RATHBUNS","ST","RATHBUNS ST","RATHBUNS ST","RATHBUNS ST","RATHBUNS ST"
"90",NA,"JERSY CITY","ST","JERSY CITY ST","JERSY CITY ST","JERSY CITY ST","JERSY CITY ST"
"91",13,"NMOOR6","ST","13 NMOOR6 ST","13 NMOOR6 ST","13 NMOOR6TH ST","13 NMOOR6TH ST"
"92",NA,"CARLTON AVE.","AVE","CARLTON AVE. AVE","CARLTON AVE. AVE","CARLTON AVE. AVE","CARLTON AVE. AVE"
"93",NA,", L. I.","ST",", L. I. ST",", L. I. ST",", L. I. ST",", L. I. ST"
"94",29,"AVE H","AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE"
"95",NA,"REFUSED","ST","REFUSED ST","REFUSED ST","REFUSED ST","REFUSED ST"
"96",NA,"H. PEARL .","ST","H. PEARL . ST","H. PEARL . ST","H. PEARL . ST","H. PEARL . ST"
"97",NA,"E 28 & LEX. AVE.","AVE","E 28 & LEX. AVE. AVE","E 28 & LEX. AVE. AVE","E 28TH & LEX. AVE. AVE","E 28TH & LEX. AVE. AVE"
"98",NA,"WMSBG","ST","WMSBG ST","WMSBG ST","WMSBG ST","WMSBG ST"
"99",29,"AVE H","AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE"
"100",NA,"6 & AVE H 1","AVE","6 & AVE H 1 AVE","6 & AVE H 1 AVE","6TH & AVE H 1 AVE","6TH & AVE H 1 AVE"
"101",28,"AVE H","AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE"
"102",28,"AVE H","AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE"
"103",NA,"WMSBG","ST","WMSBG ST","WMSBG ST","WMSBG ST","WMSBG ST"
"104",NA,"WMSBG","ST","WMSBG ST","WMSBG ST","WMSBG ST","WMSBG ST"
"105",NA,"FLEET & FULTON , BROOKLYN","ST","FLEET & FULTON , BROOKLYN ST","FLEET & FULTON , BROOKLYN ST","FLEET & FULTON , BROOKLYN ST","FLEET & FULTON , BROOKLYN ST"
"106",25,"AVE H","AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE"
"107",160,"PEARL , COLLEGE H.","ST","160 PEARL , COLLEGE H. ST","160 PEARL , COLLEGE H. ST","160 PEARL , COLLEGE H. ST","160 PEARL , COLLEGE H. ST"
"108",NA,"WMSBURG","ST","WMSBURG ST","WMSBURG ST","WMSBURG ST","WMSBURG ST"
"109",121,"G.WICH , CLINTON H.","ST","121 G.WICH , CLINTON H. ST","121 G.WICH , CLINTON H. ST","121 G.WICH , CLINTON H. ST","121 G.WICH , CLINTON H. ST"
"110",NA,"170 B.WAY,H. NEWK","ST","170 B.WAY,H. NEWK ST","170 B.WAY,H. NEWK ST","170TH B.WAY,H. NEWK ST","170TH B.WAY,H. NEWK ST"
"111",40,"AVE H","AVE","40 AVE H AVE","FORTY AVE H AVE","40 AVE H AVE","FORTY AVE H AVE"
"112",NA,"TON","ST","TON ST","TON ST","TON ST","TON ST"
"113",9,"AVE H","AVE","9 AVE H AVE","NINE AVE H AVE","9 AVE H AVE","NINE AVE H AVE"
"114",NA,"BANKS ISABELLA H OF WM AVE & W 13","AVE","BANKS ISABELLA H OF WM AVE & W 13 AVE","BANKS ISABELLA H OF WM AVE & W 13 AVE","BANKS ISABELLA H OF WM AVE & W 13TH AVE","BANKS ISABELLA H OF WM AVE & W 13TH AVE"
"115",NA,"E 25 & AVE H 4","AVE","E 25 & AVE H 4 AVE","E 25 & AVE H 4 AVE","E 25TH & AVE H 4 AVE","E 25TH & AVE H 4 AVE"
"116",109,"HAMMND","ST","109 HAMMND ST","109 HAMMND ST","109 HAMMND ST","109 HAMMND ST"
"117",31,"AVE H","AVE","31 AVE H AVE","THIRTY-ONE AVE H AVE","31 AVE H AVE","THIRTY-ONE AVE H AVE"
"118",NA,"WLLLIAMSBURG","ST","WLLLIAMSBURG ST","WLLLIAMSBURG ST","WLLLIAMSBURG ST","WLLLIAMSBURG ST"
"119",NA,"WMSBG","ST","WMSBG ST","WMSBG ST","WMSBG ST","WMSBG ST"
"120",NA,"DELANCEY & FORSYTH","ST","DELANCEY & FORSYTH ST","DELANCEY & FORSYTH ST","DELANCEY & FORSYTH ST","DELANCEY & FORSYTH ST"
"121",NA,"S .","ST","S . ST","S . ST","S . ST","S . ST"
"122",NA,"W R 37 & AVE H 8","AVE","W R 37 & AVE H 8 AVE","W R 37 & AVE H 8 AVE","W R 37TH & AVE H 8 AVE","W R 37TH & AVE H 8 AVE"
"123",25,"AVE H","AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE"
"124",NA,"WESTFARMS","ST","WESTFARMS ST","WESTFARMS ST","WESTFARMS ST","WESTFARMS ST"
"125",NA,"H. . CHARLES","ST","H. . CHARLES ST","H. . CHARLES ST","H. . CHARLES ST","H. . CHARLES ST"
"126",NA,"DONICOS","ST","DONICOS ST","DONICOS ST","DONICOS ST","DONICOS ST"
"127",NA,"THROGS NECK","ST","THROGS NECK ST","THROGS NECK ST","THROGS NECK ST","THROGS NECK ST"
"128",22,"AVE H","AVE","22 AVE H AVE","TWENTY-TWO AVE H AVE","22 AVE H AVE","TWENTY-TWO AVE H AVE"
"129",NA,"278","ST","278 ST","278 ST","278TH ST","278TH ST"
"130",NA,",N.V.","ST",",N.V. ST",",N.V. ST",",N.V. ST",",N.V. ST"
"131",NA,"N. ORLNS","ST","N. ORLNS ST","N. ORLNS ST","N. ORLNS ST","N. ORLNS ST"
"132",NA,"CO.","ST","CO. ST","CO. ST","CO. ST","CO. ST"
"133",NA,"H H 71WASHGTN","ST","H H 71WASHGTN ST","H H 71WASHGTN ST","H H 71STWASHGTN ST","H H 71STWASHGTN ST"
"134",NA,"HNA","ST","HNA ST","HNA ST","HNA ST","HNA ST"
"135",22,"AVE H","AVE","22 AVE H AVE","TWENTY-TWO AVE H AVE","22 AVE H AVE","TWENTY-TWO AVE H AVE"
"136",21,"AVE H","AVE","21 AVE H AVE","TWENTY-ONE AVE H AVE","21 AVE H AVE","TWENTY-ONE AVE H AVE"
"137",130,"MADSN","ST","130 MADSN ST","130 MADSN ST","130 MADSN ST","130 MADSN ST"
"138",NA,"AMER.","ST","AMER. ST","AMER. ST","AMER. ST","AMER. ST"
"139",NA,"BLOOMG","ST","BLOOMG ST","BLOOMG ST","BLOOMG ST","BLOOMG ST"
"140",NA,"10, H TWENTYEIGHTH & AVE H 10","AVE","10, H TWENTYEIGHTH & AVE H 10 AVE","10, H TWENTYEIGHTH & AVE H 10 AVE","10TH, H TWENTYEIGHTH & AVE H 10 AVE","10TH, H TWENTYEIGHTH & AVE H 10 AVE"
"141",NA,"CANADA","ST","CANADA ST","CANADA ST","CANADA ST","CANADA ST"
"142",NA,"ADELPHIA & DE KALB AVE , BROOKLYN","AVE","ADELPHIA & DE KALB AVE , BROOKLYN AVE","ADELPHIA & DE KALB AVE , BROOKLYN AVE","ADELPHIA & DE KALB AVE , BROOKLYN AVE","ADELPHIA & DE KALB AVE , BROOKLYN AVE"
"143",37,"AVE H","AVE","37 AVE H AVE","THIRTY-SEVEN AVE H AVE","37 AVE H AVE","THIRTY-SEVEN AVE H AVE"
"144",32,"7","ST","32 7 ST","32 7 ST","32 7TH ST","32 7TH ST"
"145",NA,"W R 37 & AVE H 9","AVE","W R 37 & AVE H 9 AVE","W R 37 & AVE H 9 AVE","W R 37TH & AVE H 9 AVE","W R 37TH & AVE H 9 AVE"
"146",23,"C.AVL","ST","23 C.AVL ST","23 C.AVL ST","23 C.AVL ST","23 C.AVL ST"
"147",NA,"N.ARK","ST","N.ARK ST","N.ARK ST","N.ARK ST","N.ARK ST"
"148",16,"LEXINGTON","ST","16 LEXINGTON ST","16 LEXINGTON ST","16 LEXINGTON ST","16 LEXINGTON ST"
"149",NA,"L. I.","ST","L. I. ST","L. I. ST","L. I. ST","L. I. ST"
"150",NA,"HOYT & DEAN BROOKLYN","ST","HOYT & DEAN BROOKLYN ST","HOYT & DEAN BROOKLYN ST","HOYT & DEAN BROOKLYN ST","HOYT & DEAN BROOKLYN ST"
"151",NA,"SBG","ST","SBG ST","SBG ST","SBG ST","SBG ST"
"152",NA,"ASTOR","ST","ASTOR ST","ASTOR ST","ASTOR ST","ASTOR ST"
"153",24,"AVE H","AVE","24 AVE H AVE","TWENTY-FOUR AVE H AVE","24 AVE H AVE","TWENTY-FOUR AVE H AVE"
"154",32,"AVE H","AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE"
"155",29,"7IV H","ST","29 7IV H ST","29 7IV H ST","29 7THIV H ST","29 7THIV H ST"
"156",NA,"W 29N 10","ST","W 29N 10 ST","W 29N 10 ST","W 29THN 10 ST","W 29THN 10 ST"
"157",195,"W 15","ST","195 W 15 ST","195 W 15 ST","195 W 15TH ST","195 W 15TH ST"
"158",NA,"BRG & WILLOUGHBY , BROOKLYN","ST","BRG & WILLOUGHBY , BROOKLYN ST","BRG & WILLOUGHBY , BROOKLYN ST","BRG & WILLOUGHBY , BROOKLYN ST","BRG & WILLOUGHBY , BROOKLYN ST"
"159",NA,", LONG ISLAND","ST",", LONG ISLAND ST",", LONG ISLAND ST",", LONG ISLAND ST",", LONG ISLAND ST"
"160",NA,", LONG ISLAND","ST",", LONG ISLAND ST",", LONG ISLAND ST",", LONG ISLAND ST",", LONG ISLAND ST"
"161",NA,"FORTYTHIRD & AVE H 3","AVE","FORTYTHIRD & AVE H 3 AVE","FORTYTHIRD & AVE H 3 AVE","FORTYTHIRD & AVE H 3RD AVE","FORTYTHIRD & AVE H 3RD AVE"
"162",168,"WHGTN.","ST","168 WHGTN. ST","168 WHGTN. ST","168 WHGTN. ST","168 WHGTN. ST"
"163",NA,", N. J.","ST",", N. J. ST",", N. J. ST",", N. J. ST",", N. J. ST"
"164",NA,", N. J","ST",", N. J ST",", N. J ST",", N. J ST",", N. J ST"
"165",NA,"181 WATER , FRANKLIN H","ST","181 WATER , FRANKLIN H ST","181 WATER , FRANKLIN H ST","181ST WATER , FRANKLIN H ST","181ST WATER , FRANKLIN H ST"
"166",NA,"N. HAVEN H","AVE","N. HAVEN H AVE","N. HAVEN H AVE","N. HAVEN H AVE","N. HAVEN H AVE"
"167",NA,"CARMANSVILLE","ST","CARMANSVILLE ST","CARMANSVILLE ST","CARMANSVILLE ST","CARMANSVILLE ST"
"168",NA,"REV","ST","REV ST","REV ST","REV ST","REV ST"
"169",NA,"E 28 & LEXINGTN AVE.","AVE","E 28 & LEXINGTN AVE. AVE","E 28 & LEXINGTN AVE. AVE","E 28TH & LEXINGTN AVE. AVE","E 28TH & LEXINGTN AVE. AVE"
"170",30,"3","ST","30 3 ST","30 3 ST","30 3RD ST","30 3RD ST"
"171",28,"AVE H","AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE"
"172",NA,"AVE E B 27 AND 28","AVE","AVE E B 27 AND 28 AVE","AVE E B 27 AND 28 AVE","AVE E B 27TH AND 28 AVE","AVE E B 27TH AND 28 AVE"
"173",41,"AVE H","AVE","41 AVE H AVE","FORTY-ONE AVE H AVE","41 AVE H AVE","FORTY-ONE AVE H AVE"
"174",NA,"N IS.","ST","N IS. ST","N IS. ST","N IS. ST","N IS. ST"
"175",NA,"ASTOR","ST","ASTOR ST","ASTOR ST","ASTOR ST","ASTOR ST"
"176",NA,"N IS.","ST","N IS. ST","N IS. ST","N IS. ST","N IS. ST"
"177",NA,"TEL","ST","TEL ST","TEL ST","TEL ST","TEL ST"
"178",28,"AVE H","AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE"
"179",32,"AVE H","AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE"
"180",164,"ELZTH","ST","164 ELZTH ST","164 ELZTH ST","164 ELZTH ST","164 ELZTH ST"
"181",NA,"748","ST","748 ST","748 ST","748TH ST","748TH ST"
"182",23,"AVE H","AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE"
"183",NA,"GOWANUS","ST","GOWANUS ST","GOWANUS ST","GOWANUS ST","GOWANUS ST"
"184",NA,"AVE A & E 13","AVE","AVE A & E 13 AVE","AVE A & E 13 AVE","AVE A & E 13TH AVE","AVE A & E 13TH AVE"
"185",555,"GREENWICH","ST","555 GREENWICH ST","555 GREENWICH ST","555 GREENWICH ST","555 GREENWICH ST"
"186",NA,"JAY & HIGH , BROOKLYN","ST","JAY & HIGH , BROOKLYN ST","JAY & HIGH , BROOKLYN ST","JAY & HIGH , BROOKLYN ST","JAY & HIGH , BROOKLYN ST"
"187",32,"AVE H","AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE"
"188",NA,"NORWALK  , .","ST","NORWALK  , . ST","NORWALK  , . ST","NORWALK  , . ST","NORWALK  , . ST"
"189",29,"AVE H","AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE"
"190",NA,"BURG","ST","BURG ST","BURG ST","BURG ST","BURG ST"
"191",NA,"BURG","ST","BURG ST","BURG ST","BURG ST","BURG ST"
"192",32,"AVE H","AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE","32 AVE H AVE","THIRTY-TWO AVE H AVE"
"193",26,"AVE H","AVE","26 AVE H AVE","TWENTY-SIX AVE H AVE","26 AVE H AVE","TWENTY-SIX AVE H AVE"
"194",NA,"JAMAICA  ,","ST","JAMAICA  , ST","JAMAICA  , ST","JAMAICA  , ST","JAMAICA  , ST"
"195",NA,". LOUIS","ST",". LOUIS ST",". LOUIS ST",". LOUIS ST",". LOUIS ST"
"196",19,"*88","ST","19 *88 ST","19 *88 ST","19 *88TH ST","19 *88TH ST"
"197",NA,". LOUIS","ST",". LOUIS ST",". LOUIS ST",". LOUIS ST",". LOUIS ST"
"198",NA,"Ã¢ÂÂ CATHARINE","ST","Ã¢ÂÂ CATHARINE ST","Ã¢ÂÂ CATHARINE ST","Ã¢ÂÂ CATHARINE ST","Ã¢ÂÂ CATHARINE ST"
"199",23,"AVE H","AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE"
"200",252,"MADISN","ST","252 MADISN ST","252 MADISN ST","252 MADISN ST","252 MADISN ST"
"201",33,"AVE H","AVE","33 AVE H AVE","THIRTY-THREE AVE H AVE","33 AVE H AVE","THIRTY-THREE AVE H AVE"
"202",NA,"BRKLYN","ST","BRKLYN ST","BRKLYN ST","BRKLYN ST","BRKLYN ST"
"203",NA,"ASTOR","ST","ASTOR ST","ASTOR ST","ASTOR ST","ASTOR ST"
"204",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"205",23,"AVE H","AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE","23 AVE H AVE","TWENTY-THREE AVE H AVE"
"206",7,"DEY","ST","7 DEY ST","7 DEY ST","7 DEY ST","7 DEY ST"
"207",31,"AVE H","AVE","31 AVE H AVE","THIRTY-ONE AVE H AVE","31 AVE H AVE","THIRTY-ONE AVE H AVE"
"208",NA,"N. B.WICK","ST","N. B.WICK ST","N. B.WICK ST","N. B.WICK ST","N. B.WICK ST"
"209",28,"BWAYC","ST","28 BWAYC ST","28 BWAYC ST","28 BWAYC ST","28 BWAYC ST"
"210",NA,"GUNTERS HOT.","ST","GUNTERS HOT. ST","GUNTERS HOT. ST","GUNTERS HOT. ST","GUNTERS HOT. ST"
