,hn_1,best_match,street_type,base_function,suffix_true,both_true
22,3,S KELSEY ALY,ALY,3 S KELSEY ALY,3 S KELSEY ALY,3 S KELSEY ALY
23,NA,EDUCATION OF BOYS 75 COLUMBIA,ST,EDUCATION OF BOYS 75 COLUMBIA ST,EDUCATION OF BOYS 75TH COLUMBIA ST,EDUCATION OF BOYS 75TH COLUMBIA ST
24,NA,JOHNSON AND FULTON,ST,JOHNSON AND FULTON ST,JOHNSON AND FULTON ST,JOHNSON AND FULTON ST
25,43,CRANBERRY,ST,43 CRANBERRY ST,43 CRANBERRY ST,43 CRANBERRY ST
26,59,HOYT,ST,59 HOYT ST,59 HOYT ST,59 HOYT ST
27,72,COLUMBIA,ST,72 COLUMBIA ST,72 COLUMBIA ST,72 COLUMBIA ST
28,34,,ST,34  ST,34  ST,34  ST
29,266,DAY,ST,266 DAY ST,266 DAY ST,266 DAY ST
30,45,HIGH,ST,45 HIGH ST,45 HIGH ST,45 HIGH ST
31,124,NASSAU,ST,124 NASSAU ST,124 NASSAU ST,124 NASSAU ST
32,22,DEGRAW,ST,22 DEGRAW ST,22 DEGRAW ST,22 DEGRAW ST
33,NA,3D AVY AND 24 GOWANUS,ST,3D AVY AND 24 GOWANUS ST,3RDD AVY AND 24 GOWANUS ST,3RDD AVY AND 24 GOWANUS ST
34,152,HUDSON AVE,AVE,152 HUDSON AVE,152 HUDSON AVE,152 HUDSON AVE
35,NA,DEAN AND SMITH,ST,DEAN AND SMITH ST,DEAN AND SMITH ST,DEAN AND SMITH ST
36,NA,FLUSHING AVE AND NAVY YARD,AVE,FLUSHING AVE AND NAVY YARD AVE,FLUSHING AVE AND NAVY YARD AVE,FLUSHING AVE AND NAVY YARD AVE
37,NA,MYRTLE AND NOSTRAND AVE,AVE,MYRTLE AND NOSTRAND AVE,MYRTLE AND NOSTRAND AVE,MYRTLE AND NOSTRAND AVE
38,101,STATE,ST,101 STATE ST,101 STATE ST,101 STATE ST
39,99,STATE,ST,99 STATE ST,99 STATE ST,99 STATE ST
40,176,YORK,ST,176 YORK ST,176 YORK ST,176 YORK ST
41,8,TILLARY,ST,8 TILLARY ST,8 TILLARY ST,8 TILLARY ST
42,NA,LABORER 22D AND 3D AVE GOWANUS,AVE,LABORER 22D AND 3D AVE GOWANUS AVE,LABORER 22NDD AND 3D AVE GOWANUS AVE,LABORER 22NDD AND 3D AVE GOWANUS AVE
43,NA,PACIFIC AND OXFORD,ST,PACIFIC AND OXFORD ST,PACIFIC AND OXFORD ST,PACIFIC AND OXFORD ST
44,NA,HUDSON AVE AND LAFAYETTE,AVE,HUDSON AVE AND LAFAYETTE AVE,HUDSON AVE AND LAFAYETTE AVE,HUDSON AVE AND LAFAYETTE AVE
45,210,ATLANTIC,ST,210 ATLANTIC ST,210 ATLANTIC ST,210 ATLANTIC ST
46,NA,BUTLER AND SMITH,ST,BUTLER AND SMITH ST,BUTLER AND SMITH ST,BUTLER AND SMITH ST
47,321,HENRY,ST,321 HENRY ST,321 HENRY ST,321 HENRY ST
48,34,WYCKOFF,ST,34 WYCKOFF ST,34 WYCKOFF ST,34 WYCKOFF ST
49,NA,HOYT AND STATE,ST,HOYT AND STATE ST,HOYT AND STATE ST,HOYT AND STATE ST
50,163,PEARL,ST,163 PEARL ST,163 PEARL ST,163 PEARL ST
51,346,FULTON OP ADAMS,ST,346 FULTON OP ADAMS ST,346 FULTON OP ADAMS ST,346 FULTON OP ADAMS ST
52,41,GOLD,ST,41 GOLD ST,41 GOLD ST,41 GOLD ST
53,108,HIGH,ST,108 HIGH ST,108 HIGH ST,108 HIGH ST
54,6,MONTAGUE PL,PL,6 MONTAGUE PL,6 MONTAGUE PL,6 MONTAGUE PL
55,NA,JAY AND FRONT,ST,JAY AND FRONT ST,JAY AND FRONT ST,JAY AND FRONT ST
56,109,HIGH,ST,109 HIGH ST,109 HIGH ST,109 HIGH ST
57,NA,SANDS AND NAVY,ST,SANDS AND NAVY ST,SANDS AND NAVY ST,SANDS AND NAVY ST
58,107,CONCORD,ST,107 CONCORD ST,107 CONCORD ST,107 CONCORD ST
59,40,PRINCE,ST,40 PRINCE ST,40 PRINCE ST,40 PRINCE ST
60,94,SANDS,ST,94 SANDS ST,94 SANDS ST,94 SANDS ST
61,NA,FRONT AND DAY,ST,FRONT AND DAY ST,FRONT AND DAY ST,FRONT AND DAY ST
62,NA,FRONT AND JAY,ST,FRONT AND JAY ST,FRONT AND JAY ST,FRONT AND JAY ST
63,NA,GROCER 2ISTST AND 4 AVE GOWANUS,AVE,GROCER 2ISTST AND 4 AVE GOWANUS AVE,GROCER 2NDISTST AND 4 AVE GOWANUS AVE,GROCER 2NDISTST AND 4 AVE GOWANUS AVE
64,NA,CLINTON,ST,CLINTON ST,CLINTON ST,CLINTON ST
65,35,,ST,35  ST,35  ST,35  ST
66,NA,HAMILTON RED HOOK,ST,HAMILTON RED HOOK ST,HAMILTON RED HOOK ST,HAMILTON RED HOOK ST
67,296,ATLANTIC,ST,296 ATLANTIC ST,296 ATLANTIC ST,296 ATLANTIC ST
68,NA,WARREN,ST,WARREN ST,WARREN ST,WARREN ST
69,113,LIVINGSTON,ST,113 LIVINGSTON ST,113 LIVINGSTON ST,113 LIVINGSTON ST
70,100,ORANGE,ST,100 ORANGE ST,100 ORANGE ST,100 ORANGE ST
71,98,DUFFIELD,ST,98 DUFFIELD ST,98 DUFFIELD ST,98 DUFFIELD ST
72,NA,AGENT FOR THE HIRE OF REAL ESTATE 69 CRANBERRY,ST,AGENT FOR THE HIRE OF REAL ESTATE 69 CRANBERRY ST,AGENT FOR THE HIRE OF REAL ESTATE 69TH CRANBERRY ST,AGENT FOR THE HIRE OF REAL ESTATE 69TH CRANBERRY ST
73,21,CARLTON ALY,ALY,21 CARLTON ALY,21 CARLTON ALY,21 CARLTON ALY
74,NA,FLUSHING AVE,AVE,FLUSHING AVE,FLUSHING AVE,FLUSHING AVE
75,NA,CLASSON AND MYRTLE AVE,AVE,CLASSON AND MYRTLE AVE,CLASSON AND MYRTLE AVE,CLASSON AND MYRTLE AVE
76,NA,MYRTLE AND CLASSON AVE,AVE,MYRTLE AND CLASSON AVE,MYRTLE AND CLASSON AVE,MYRTLE AND CLASSON AVE
77,118,GOLD,ST,118 GOLD ST,118 GOLD ST,118 GOLD ST
78,73,PROSPECT,ST,73 PROSPECT ST,73 PROSPECT ST,73 PROSPECT ST
79,265,HUDSON ALY,ALY,265 HUDSON ALY,265 HUDSON ALY,265 HUDSON ALY
80,33,CRANBERRY,ST,33 CRANBERRY ST,33 CRANBERRY ST,33 CRANBERRY ST
81,NA,BRG AND SANDS,ST,BRG AND SANDS ST,BRG AND SANDS ST,BRG AND SANDS ST
82,NA,LIVINGSTON AND HOYT,ST,LIVINGSTON AND HOYT ST,LIVINGSTON AND HOYT ST,LIVINGSTON AND HOYT ST
83,258,,ST,258  ST,258  ST,258  ST
84,180,YORK,ST,180 YORK ST,180 YORK ST,180 YORK ST
85,217,ADAMS,ST,217 ADAMS ST,217 ADAMS ST,217 ADAMS ST
86,43,ADELPHI,ST,43 ADELPHI ST,43 ADELPHI ST,43 ADELPHI ST
87,57,YORK,ST,57 YORK ST,57 YORK ST,57 YORK ST
88,NA,HUDSON AND DE KALB ALY,ALY,HUDSON AND DE KALB ALY,HUDSON AND DE KALB ALY,HUDSON AND DE KALB ALY
89,NA,DEAN AND POWERS,ST,DEAN AND POWERS ST,DEAN AND POWERS ST,DEAN AND POWERS ST
90,NA,FRANKLIN AVE,AVE,FRANKLIN AVE,FRANKLIN AVE,FRANKLIN AVE
91,NA,FLUSHING AVE AND GRAHAM,AVE,FLUSHING AVE AND GRAHAM AVE,FLUSHING AVE AND GRAHAM AVE,FLUSHING AVE AND GRAHAM AVE
92,227,ATLANTIC,ST,227 ATLANTIC ST,227 ATLANTIC ST,227 ATLANTIC ST
93,NA,KENT AND FLUSHING AVE,AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE
94,116,JOHNSON,ST,116 JOHNSON ST,116 JOHNSON ST,116 JOHNSON ST
95,98,ILENRY,ST,98 ILENRY ST,98 ILENRY ST,98 ILENRY ST
96,36,TILLARY,ST,36 TILLARY ST,36 TILLARY ST,36 TILLARY ST
97,307,BRG,ST,307 BRG ST,307 BRG ST,307 BRG ST
98,NA,CLINTON AVE,AVE,CLINTON AVE,CLINTON AVE,CLINTON AVE
99,NA,POWERS,ST,POWERS ST,POWERS ST,POWERS ST
100,NA,ATLANTIC,ST,ATLANTIC ST,ATLANTIC ST,ATLANTIC ST
101,197,WASHINGTON,ST,197 WASHINGTON ST,197 WASHINGTON ST,197 WASHINGTON ST
102,121,HICKS,ST,121 HICKS ST,121 HICKS ST,121 HICKS ST
103,73,LIVINGSTON,ST,73 LIVINGSTON ST,73 LIVINGSTON ST,73 LIVINGSTON ST
104,56,STANTON,ST,56 STANTON ST,56 STANTON ST,56 STANTON ST
105,72,SANDS,ST,72 SANDS ST,72 SANDS ST,72 SANDS ST
106,NA,GOLD AND FULTON ALY,ALY,GOLD AND FULTON ALY,GOLD AND FULTON ALY,GOLD AND FULTON ALY
107,102,NASEAU,ST,102 NASEAU ST,102 NASEAU ST,102 NASEAU ST
108,153,PROSPECT,ST,153 PROSPECT ST,153 PROSPECT ST,153 PROSPECT ST
109,65,POPLAR,ST,65 POPLAR ST,65 POPLAR ST,65 POPLAR ST
110,103,WILLOUGHBY,ST,103 WILLOUGHBY ST,103 WILLOUGHBY ST,103 WILLOUGHBY ST
111,305,GOLD,ST,305 GOLD ST,305 GOLD ST,305 GOLD ST
112,NA,PARK AND VANDERBILT AVE,AVE,PARK AND VANDERBILT AVE,PARK AND VANDERBILT AVE,PARK AND VANDERBILT AVE
113,NA,KENT AND FLUSHING AVE,AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE
114,NA,JOHNSON AND ADAMS,ST,JOHNSON AND ADAMS ST,JOHNSON AND ADAMS ST,JOHNSON AND ADAMS ST
115,33,COTTAGE ROW FURMAN,ROW,33 COTTAGE ROW FURMAN ROW,33 COTTAGE ROW FURMAN ROW,33 COTTAGE ROW FURMAN ROW
116,52,STATE,ST,52 STATE ST,52 STATE ST,52 STATE ST
117,NA,WILLOW PL AND STATE,ST,WILLOW PL AND STATE ST,WILLOW PL AND STATE ST,WILLOW PL AND STATE ST
118,NA,CLINTON AND MYRTLE AVE,AVE,CLINTON AND MYRTLE AVE,CLINTON AND MYRTLE AVE,CLINTON AND MYRTLE AVE
119,56,BALTIC,ST,56 BALTIC ST,56 BALTIC ST,56 BALTIC ST
120,108,ATLANTIC,ST,108 ATLANTIC ST,108 ATLANTIC ST,108 ATLANTIC ST
121,103,HADSON AVE,AVE,103 HADSON AVE,103 HADSON AVE,103 HADSON AVE
122,NA,FLUSHING AVE AND NAVY,AVE,FLUSHING AVE AND NAVY AVE,FLUSHING AVE AND NAVY AVE,FLUSHING AVE AND NAVY AVE
123,16,MYRTLE AVE,AVE,16 MYRTLE AVE,16 MYRTLE AVE,16 MYRTLE AVE
124,209,HENRY,ST,209 HENRY ST,209 HENRY ST,209 HENRY ST
125,NA,HICKS AND LUQUEER,ST,HICKS AND LUQUEER ST,HICKS AND LUQUEER ST,HICKS AND LUQUEER ST
126,125,HIGH,ST,125 HIGH ST,125 HIGH ST,125 HIGH ST
127,35,DOUGLASS,ST,35 DOUGLASS ST,35 DOUGLASS ST,35 DOUGLASS ST
128,219,FRONT,ST,219 FRONT ST,219 FRONT ST,219 FRONT ST
129,NA,3D AVE AND 27,AVE,3D AVE AND 27 AVE,3RDD AVE AND 27 AVE,3RDD AVE AND 27 AVE
130,96,FRONT,ST,96 FRONT ST,96 FRONT ST,96 FRONT ST
131,53,FULTON,ST,53 FULTON ST,53 FULTON ST,53 FULTON ST
132,NA,ATLANTIC AND BOND,ST,ATLANTIC AND BOND ST,ATLANTIC AND BOND ST,ATLANTIC AND BOND ST
133,NA,PLYMOUTH AND PEARL,ST,PLYMOUTH AND PEARL ST,PLYMOUTH AND PEARL ST,PLYMOUTH AND PEARL ST
134,57,JOHNSON,ST,57 JOHNSON ST,57 JOHNSON ST,57 JOHNSON ST
135,217,PEARL,ST,217 PEARL ST,217 PEARL ST,217 PEARL ST
136,NA,GOLD AND PROSPECT,ST,GOLD AND PROSPECT ST,GOLD AND PROSPECT ST,GOLD AND PROSPECT ST
137,61,CT,ST,61 CT ST,61 CT ST,61 CT ST
138,NA,HICKS B,ST,HICKS B ST,HICKS B ST,HICKS B ST
139,36,NAVY,ST,36 NAVY ST,36 NAVY ST,36 NAVY ST
140,63,ATLANTIC,ST,63 ATLANTIC ST,63 ATLANTIC ST,63 ATLANTIC ST
141,56,ATLANTIC,ST,56 ATLANTIC ST,56 ATLANTIC ST,56 ATLANTIC ST
142,6,KELSEY,ST,6 KELSEY ST,6 KELSEY ST,6 KELSEY ST
143,7,MIDDAGH,ST,7 MIDDAGH ST,7 MIDDAGH ST,7 MIDDAGH ST
144,279,GOLD,ST,279 GOLD ST,279 GOLD ST,279 GOLD ST
145,NA,KENT AVE NORTH,AVE,KENT AVE NORTH AVE,KENT AVE NORTH AVE,KENT AVE NORTH AVE
146,8,,ST,8  ST,8  ST,8  ST
147,19,,ST,19  ST,19  ST,19  ST
148,1,MCKENNEY,ST,1 MCKENNEY ST,1 MCKENNEY ST,1 MCKENNEY ST
149,295,PROSPECT,ST,295 PROSPECT ST,295 PROSPECT ST,295 PROSPECT ST
150,43,,ST,43  ST,43  ST,43  ST
151,10,VINE,ST,10 VINE ST,10 VINE ST,10 VINE ST
152,393,ATLANTIC,ST,393 ATLANTIC ST,393 ATLANTIC ST,393 ATLANTIC ST
153,50,MIDDAGH,ST,50 MIDDAGH ST,50 MIDDAGH ST,50 MIDDAGH ST
154,NA,STA,ST,STA ST,STA ST,STA ST
155,3,YORK,ST,3 YORK ST,3 YORK ST,3 YORK ST
156,NA,FLUSHING AND KENT AVE,AVE,FLUSHING AND KENT AVE,FLUSHING AND KENT AVE,FLUSHING AND KENT AVE
157,NA,TILLARY AND CANTON,ST,TILLARY AND CANTON ST,TILLARY AND CANTON ST,TILLARY AND CANTON ST
158,NA,CROWHILL,ST,CROWHILL ST,CROWHILL ST,CROWHILL ST
159,77,YORK,ST,77 YORK ST,77 YORK ST,77 YORK ST
160,167,YORK,ST,167 YORK ST,167 YORK ST,167 YORK ST
161,1,TILLARY,ST,1 TILLARY ST,1 TILLARY ST,1 TILLARY ST
162,16,COTTAGE ROW FURMAN,ROW,16 COTTAGE ROW FURMAN ROW,16 COTTAGE ROW FURMAN ROW,16 COTTAGE ROW FURMAN ROW
163,NA,CLERMONT,ST,CLERMONT ST,CLERMONT ST,CLERMONT ST
164,15,PROSPECT,ST,15 PROSPECT ST,15 PROSPECT ST,15 PROSPECT ST
165,95,PROSPECT,ST,95 PROSPECT ST,95 PROSPECT ST,95 PROSPECT ST
166,NA,SACKETT AND CLINTON,ST,SACKETT AND CLINTON ST,SACKETT AND CLINTON ST,SACKETT AND CLINTON ST
167,110,HUDSON AVE,AVE,110 HUDSON AVE,110 HUDSON AVE,110 HUDSON AVE
168,114,HUDSON AVE,AVE,114 HUDSON AVE,114 HUDSON AVE,114 HUDSON AVE
169,68,YORK,ST,68 YORK ST,68 YORK ST,68 YORK ST
170,49,MIDDAGH,ST,49 MIDDAGH ST,49 MIDDAGH ST,49 MIDDAGH ST
171,NA,FRONTE WASHINGTON,ST,FRONTE WASHINGTON ST,FRONTE WASHINGTON ST,FRONTE WASHINGTON ST
172,43,MAIN,ST,43 MAIN ST,43 MAIN ST,43 MAIN ST
173,108,GOLD,ST,108 GOLD ST,108 GOLD ST,108 GOLD ST
174,39,CARLTON AVE,AVE,39 CARLTON AVE,39 CARLTON AVE,39 CARLTON AVE
175,18,4 AVE GOWANUS,AVE,18 4 AVE GOWANUS AVE,18 4TH AVE GOWANUS AVE,18 4TH AVE GOWANUS AVE
176,80,HIGH,ST,80 HIGH ST,80 HIGH ST,80 HIGH ST
177,128,,ST,128  ST,128  ST,128  ST
178,NA,4 WARD FULTON AND MYRTLE AVE,AVE,4 WARD FULTON AND MYRTLE AVE,4TH WARD FULTON AND MYRTLE AVE,4TH WARD FULTON AND MYRTLE AVE
179,4,FRANKLIN PL,PL,4 FRANKLIN PL,4 FRANKLIN PL,4 FRANKLIN PL
180,NA,BEDFORD AND MYRTLE ALY,ALY,BEDFORD AND MYRTLE ALY,BEDFORD AND MYRTLE ALY,BEDFORD AND MYRTLE ALY
181,NA,FLUSHING AND FRANKLIN ALY,ALY,FLUSHING AND FRANKLIN ALY,FLUSHING AND FRANKLIN ALY,FLUSHING AND FRANKLIN ALY
182,NA,FLUSHING AVE AND SPENCER,AVE,FLUSHING AVE AND SPENCER AVE,FLUSHING AVE AND SPENCER AVE,FLUSHING AVE AND SPENCER AVE
183,NA,SPENCER AND FLUSHIUG ALY,ALY,SPENCER AND FLUSHIUG ALY,SPENCER AND FLUSHIUG ALY,SPENCER AND FLUSHIUG ALY
184,53,HUDSON ALY,ALY,53 HUDSON ALY,53 HUDSON ALY,53 HUDSON ALY
185,61,HOYT,ST,61 HOYT ST,61 HOYT ST,61 HOYT ST
186,152,MYRTLE,ST,152 MYRTLE ST,152 MYRTLE ST,152 MYRTLE ST
187,NA,MYRTLE AVE STEUBEN,ST,MYRTLE AVE STEUBEN ST,MYRTLE AVE STEUBEN ST,MYRTLE AVE STEUBEN ST
188,37,,ST,37  ST,37  ST,37  ST
189,NA,WYCKOFF AND BOND,ST,WYCKOFF AND BOND ST,WYCKOFF AND BOND ST,WYCKOFF AND BOND ST
190,188,WATER,ST,188 WATER ST,188 WATER ST,188 WATER ST
191,108,CLINTON,ST,108 CLINTON ST,108 CLINTON ST,108 CLINTON ST
192,155,NASSAU,ST,155 NASSAU ST,155 NASSAU ST,155 NASSAU ST
193,20,DOUGLASS,ST,20 DOUGLASS ST,20 DOUGLASS ST,20 DOUGLASS ST
194,NA,CHEEYER PLN HARRI,PL,CHEEYER PLN HARRI PL,CHEEYER PLN HARRI PL,CHEEYER PLN HARRI PL
195,195,ATLANTIC,ST,195 ATLANTIC ST,195 ATLANTIC ST,195 ATLANTIC ST
196,149,PROSPECT,ST,149 PROSPECT ST,149 PROSPECT ST,149 PROSPECT ST
197,102,FULTON,ST,102 FULTON ST,102 FULTON ST,102 FULTON ST
198,NA,MERCEIN O JAMES,ST,MERCEIN O JAMES ST,MERCEIN O JAMES ST,MERCEIN O JAMES ST
199,NA,CARLTON,ST,CARLTON ST,CARLTON ST,CARLTON ST
200,144,JAY,ST,144 JAY ST,144 JAY ST,144 JAY ST
201,NA,3D ALY,ALY,3D ALY,3RDD ALY,3RDD ALY
202,NA,CONCARD AND GOLD,ST,CONCARD AND GOLD ST,CONCARD AND GOLD ST,CONCARD AND GOLD ST
203,NA,FARMER 3D AYN 27 GOWANUS,ST,FARMER 3D AYN 27 GOWANUS ST,FARMER 3RDD AYN 27 GOWANUS ST,FARMER 3RDD AYN 27 GOWANUS ST
204,NA,HUDSON AND FULTON AVE,AVE,HUDSON AND FULTON AVE,HUDSON AND FULTON AVE,HUDSON AND FULTON AVE
205,47,GREEN LN,LN,47 GREEN LN,47 GREEN LN,47 GREEN LN
206,182,ADAMS,ST,182 ADAMS ST,182 ADAMS ST,182 ADAMS ST
207,838,HENRY,ST,838 HENRY ST,838 HENRY ST,838 HENRY ST
208,16,3D ALY GOWANUS,ALY,16 3D ALY GOWANUS ALY,16 3RDD ALY GOWANUS ALY,16 3RDD ALY GOWANUS ALY
209,NA,SLATE AND BOND,ST,SLATE AND BOND ST,SLATE AND BOND ST,SLATE AND BOND ST
210,NA,SMITH AND DOUGLASS,ST,SMITH AND DOUGLASS ST,SMITH AND DOUGLASS ST,SMITH AND DOUGLASS ST
211,NA,PACIFIC OP WASHINGTON AVE,AVE,PACIFIC OP WASHINGTON AVE,PACIFIC OP WASHINGTON AVE,PACIFIC OP WASHINGTON AVE
212,NA,GOWANUS 1D,ST,GOWANUS 1D ST,GOWANUS 1STD ST,GOWANUS 1STD ST
213,42,MAIN,ST,42 MAIN ST,42 MAIN ST,42 MAIN ST
214,NA,RAYMOND AND MYRTLE AVE,AVE,RAYMOND AND MYRTLE AVE,RAYMOND AND MYRTLE AVE,RAYMOND AND MYRTLE AVE
215,126,PROSPECT,ST,126 PROSPECT ST,126 PROSPECT ST,126 PROSPECT ST
216,NA,DE KALB AVE,AVE,DE KALB AVE,DE KALB AVE,DE KALB AVE
217,312,ATLANTIC,ST,312 ATLANTIC ST,312 ATLANTIC ST,312 ATLANTIC ST
218,13,COTTAGE ROW COLUMBIA,ROW,13 COTTAGE ROW COLUMBIA ROW,13 COTTAGE ROW COLUMBIA ROW,13 COTTAGE ROW COLUMBIA ROW
219,NA,FRONT AND GARRISON,ST,FRONT AND GARRISON ST,FRONT AND GARRISON ST,FRONT AND GARRISON ST
220,100,GOLD,ST,100 GOLD ST,100 GOLD ST,100 GOLD ST
221,61,ATLANTIC,ST,61 ATLANTIC ST,61 ATLANTIC ST,61 ATLANTIC ST
222,NA,3D AVE GOWANUS,AVE,3D AVE GOWANUS AVE,3RDD AVE GOWANUS AVE,3RDD AVE GOWANUS AVE
223,NA,HAMILTON AYN ATLANTIC DOCK,ST,HAMILTON AYN ATLANTIC DOCK ST,HAMILTON AYN ATLANTIC DOCK ST,HAMILTON AYN ATLANTIC DOCK ST
224,95,FULTON,ST,95 FULTON ST,95 FULTON ST,95 FULTON ST
225,166,PROSPECT,ST,166 PROSPECT ST,166 PROSPECT ST,166 PROSPECT ST
226,NA,CLOVE RD BEDFORD,ST,CLOVE RD BEDFORD ST,CLOVE RD BEDFORD ST,CLOVE RD BEDFORD ST
227,NA,RED HOOK POINT,ST,RED HOOK POINT ST,RED HOOK POINT ST,RED HOOK POINT ST
228,147,HICKS,ST,147 HICKS ST,147 HICKS ST,147 HICKS ST
229,160,ATLANTIC,ST,160 ATLANTIC ST,160 ATLANTIC ST,160 ATLANTIC ST
230,142,CARLL,ST,142 CARLL ST,142 CARLL ST,142 CARLL ST
231,NA,CLASSON AND MYRTLE ALY,ALY,CLASSON AND MYRTLE ALY,CLASSON AND MYRTLE ALY,CLASSON AND MYRTLE ALY
232,NA,MILKMAN 5 AVE AND ATLANTIC,AVE,MILKMAN 5 AVE AND ATLANTIC AVE,MILKMAN 5TH AVE AND ATLANTIC AVE,MILKMAN 5TH AVE AND ATLANTIC AVE
233,130,MYRTLE AVE,AVE,130 MYRTLE AVE,130 MYRTLE AVE,130 MYRTLE AVE
234,NA,JAMAICA RD AND ATLANTIC,ST,JAMAICA RD AND ATLANTIC ST,JAMAICA RD AND ATLANTIC ST,JAMAICA RD AND ATLANTIC ST
235,18,LAWRENCE,ST,18 LAWRENCE ST,18 LAWRENCE ST,18 LAWRENCE ST
236,195,WASHINGTON,ST,195 WASHINGTON ST,195 WASHINGTON ST,195 WASHINGTON ST
237,95,FULTON,ST,95 FULTON ST,95 FULTON ST,95 FULTON ST
238,NA,SMITH CE WYKOFF,ST,SMITH CE WYKOFF ST,SMITH CE WYKOFF ST,SMITH CE WYKOFF ST
239,141,ATLANTICH 108 PINEAPPLE,ST,141 ATLANTICH 108 PINEAPPLE ST,141 ATLANTICH 108TH PINEAPPLE ST,141 ATLANTICH 108TH PINEAPPLE ST
240,NA,CT AND PACIFIC,ST,CT AND PACIFIC ST,CT AND PACIFIC ST,CT AND PACIFIC ST
241,NA,MONTAGUE PL H HENRY,PL,MONTAGUE PL H HENRY PL,MONTAGUE PL H HENRY PL,MONTAGUE PL H HENRY PL
242,37,FRONT,ST,37 FRONT ST,37 FRONT ST,37 FRONT ST
243,66,AND 58,ST,66 AND 58 ST,66 AND 58TH ST,66 AND 58TH ST
244,NA,WATER AND DOCK,ST,WATER AND DOCK ST,WATER AND DOCK ST,WATER AND DOCK ST
245,75,WATER,ST,75 WATER ST,75 WATER ST,75 WATER ST
246,90,SMITH,ST,90 SMITH ST,90 SMITH ST,90 SMITH ST
247,NA,COLUMBIA AND SUMMIT,ST,COLUMBIA AND SUMMIT ST,COLUMBIA AND SUMMIT ST,COLUMBIA AND SUMMIT ST
248,85,PROSPECT,ST,85 PROSPECT ST,85 PROSPECT ST,85 PROSPECT ST
249,99,NAVY,ST,99 NAVY ST,99 NAVY ST,99 NAVY ST
250,NA,FULTON SHADES 311 FULTON,ST,FULTON SHADES 311 FULTON ST,FULTON SHADES 311TH FULTON ST,FULTON SHADES 311TH FULTON ST
251,NA,HAMILTON AVE,AVE,HAMILTON AVE,HAMILTON AVE,HAMILTON AVE
252,91,CONCORD,ST,91 CONCORD ST,91 CONCORD ST,91 CONCORD ST
253,84,HUDSON AVE,AVE,84 HUDSON AVE,84 HUDSON AVE,84 HUDSON AVE
254,2,,ST,2  ST,2  ST,2  ST
255,NA,PL AND CT,CT,PL AND CT,PL AND CT,PL AND CT
256,NA,HENRY,ST,HENRY ST,HENRY ST,HENRY ST
257,NA,3 AVE GOWANUS,AVE,3 AVE GOWANUS AVE,3RD AVE GOWANUS AVE,3RD AVE GOWANUS AVE
258,150,JORALEMON,ST,150 JORALEMON ST,150 JORALEMON ST,150 JORALEMON ST
259,NA,3D AVE GOWANUS,AVE,3D AVE GOWANUS AVE,3RDD AVE GOWANUS AVE,3RDD AVE GOWANUS AVE
260,16,POPLAR,ST,16 POPLAR ST,16 POPLAR ST,16 POPLAR ST
