Full Address,H Status-flag,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City,new h address-flag,new h house number,new h street name,new h city,new h county,unidentified h info,new h street 1,new h street 2,new h street type,h house number modifier,new address2 house number,new address2 street name,new address2 street 1,new address2 street 2,new address2 street type,new address2 city,new address2 county,unidentified address2 info,address2 house number modifier
"brown and blue stone yard , Water b Adams and Washington h. 5 Monroe Place",Assume,"BROWN AND BLUE STONE YARD , WATER B ADAMS AND WASHINGTON H. 5 MONROE PLACE",,,"BROWN AND BLUE STONE YARD , WATER B ADAMS AND WASHINGTON H. 5 MONROE PLACE",,,,,h in between,5,MONROE PL,,,ACE,,,,,,WASHINGTON,,,,,,"BROWN AND BLUE STONE YARD , WATER B ADAMS AND",
Columbia c Pacific h Boreum c Schermerhorn,Assume,COLUMBIA C PACIFIC H BOREUM C SCHERMERHORN,,,COLUMBIA C PACIFIC H BOREUM C SCHERMERHORN,,,,,h in between,,SCHERMERHORN,,,BOREUM C,,,,,,COLUMBIA,,,,,,C PACIFIC,
"brown and blue stone yard , Water h YVashington and Adams",Assume,"BROWN AND BLUE STONE YARD , WATER H YVASHINGTON AND ADAMS",,,"BROWN AND BLUE STONE YARD , WATER H YVASHINGTON AND ADAMS",,,,,h in between,,ADAMS,,,YVASHINGTON AND,,,,,,BROWN,,,,,,"AND BLUE STONE YARD , WATER",
Adams c York h 72 Adams,Assume,ADAMS C YORK H 72 ADAMS,,,ADAMS C YORK H 72 ADAMS,,,,,h in between,72,ADAMS,,,H,,,,,,ADAMS,,,,,,C YORK,
24 Cedar N Y h 97 Concord,Assume,24 CEDAR N Y H 97 CONCORD,24,CEDAR N Y H 97 CONCORD,,,,,,h in between,97,CONCORD,,,H,,,,,24,CEDAR,,,,,,N Y,
N Y h 24 Garden,Assume,N Y H 24 GARDEN,,,N Y H 24 GARDEN,,,,,h in between,24,GARDEN,,,H,,,,,,,,,,,,N Y,
Phoenix market Willoughby c Gold h 95 Myrtle av,Assume,PHOENIX MARKET WILLOUGHBY C GOLD H 95 MYRTLE AV,,,PHOENIX MARKET WILLOUGHBY C GOLD H 95 MYRTLE AV,,,,,h in between,,95,,,MYRTLE AV,,,,,,WILLOUGHBY,,,,PHOENIX,,MARKET  C GOLD,
Hudson n Fulton av h 218 Front,Assume,HUDSON N FULTON AV H 218 FRONT,,,HUDSON N FULTON AV H 218 FRONT,,,,,h in between,218,FRONT,,,H,,,,,,HUDSON,,,,,FULTON,N  AV,
159 Pearl N Y h 69 Orange,Assume,159 PEARL N Y H 69 ORANGE,159,PEARL N Y H 69 ORANGE,,,,,,h in between,69,ORANGE,,,H,,,,,159,PEARL,,,,,,N Y,
N Y h 46 Sauds,Assume,N Y H 46 SAUDS,,,N Y H 46 SAUDS,,,,,h in between,,46,,,SAUDS,,,,,,,,,,,,N Y,
60 Pine N Y h 38 Pierrepont,Assume,60 PINE N Y H 38 PIERREPONT,60,PINE N Y H 38 PIERREPONT,,,,,,h in between,38,PIERREPONT,,,H,,,,,60,PINE,,,,,,N Y,
mercht19 Cortlandt N Y h 73 Cranberry,Assume,MERCHT19 CORTLANDT N Y H 73 CRANBERRY,,,MERCHT19 CORTLANDT N Y H 73 CRANBERRY,,,,,h in between,73,CRANBERRY,,,H,,,,,,CORTLANDT,,,,,,MERCHT19  N Y,
34 Beaver N Y h 65 Joralemon,Assume,34 BEAVER N Y H 65 JORALEMON,34,BEAVER N Y H 65 JORALEMON,,,,,,h in between,65,JORALEMON,,,H,,,,,34,BEAVER,,,,,,N Y,
147 Broadway N Y h 100 Middagh,Assume,147 BROADWAY N Y H 100 MIDDAGH,147,BROADWAY N Y H 100 MIDDAGH,,,,,,h in between,100,MIDDAGH,,,H,,,,,147,BROADWAY,,,,,,N Y,
254 Gold n Myrtle av able keeper Fulton n City Hall h 9 Pearl,Assume,254 GOLD N MYRTLE AV ABLE KEEPER FULTON N CITY HALL H 9 PEARL,254,GOLD N MYRTLE AV ABLE KEEPER FULTON N CITY HALL H 9 PEARL,,,,,,h in between,9,PEARL,,,H,,,,,254,FULTON,,,,,,GOLD N MYRTLE AV ABLE KEEPER  N CITY HALL,
Park c Franklin av h Flushing,Assume,PARK C FRANKLIN AV H FLUSHING,,,PARK C FRANKLIN AV H FLUSHING,,,,,h in between,,,FLUSHING,,H,,,,,,FRANKLIN,,,,,,PARK C  AV,
42 Water N Y h 99 Jay,Assume,42 WATER N Y H 99 JAY,42,WATER N Y H 99 JAY,,,,,,h in between,99,JAY,,,H,,,,,42,WATER,,,,,,N Y,
38 South N Y h 9 Monroe place,Assume,38 SOUTH N Y H 9 MONROE PLACE,38,SOUTH N Y H 9 MONROE PLACE,,,,,,h in between,9,MONROE PL,,,ACE,,,,,,38,,,,,,SOUTH N Y,
38 South N Y h 9 Monroe Place,Assume,38 SOUTH N Y H 9 MONROE PLACE,38,SOUTH N Y H 9 MONROE PLACE,,,,,,h in between,9,MONROE PL,,,ACE,,,,,,38,,,,,,SOUTH N Y,
105 Wall N Y h 26 Garden,Assume,105 WALL N Y H 26 GARDEN,105,WALL N Y H 26 GARDEN,,,,,,h in between,26,GARDEN,,,H,,,,,105,WALL,,,,,,N Y,
N Y h 4 Union Place,Assume,N Y H 4 UNION PLACE,,,N Y H 4 UNION PLACE,,,,,h in between,4,UNION PL,,,ACE,,,,,,,,,,,,N Y,
N Y h 41 Livingston,Assume,N Y H 41 LIVINGSTON,,,N Y H 41 LIVINGSTON,,,,,h in between,41,LIVINGSTON,,,H,,,,,,,,,,,,N Y,
N Y h 42 Concord,Assume,N Y H 42 CONCORD,,,N Y H 42 CONCORD,,,,,h in between,42,CONCORD,,,H,,,,,,,,,,,,N Y,
57 Water N Y h 26 Prospect,Assume,57 WATER N Y H 26 PROSPECT,57,WATER N Y H 26 PROSPECT,,,,,,h in between,26,PROSPECT,,,H,,,,,57,WATER,,,,,,N Y,
Furman h 102 Joralemon,Assume,FURMAN H 102 JORALEMON,,,FURMAN H 102 JORALEMON,,,,,h in between,102,JORALEMON,,,H,,,,,,FURMAN,,,,,,,
129 Fulton N Y h 114 Smith,Assume,129 FULTON N Y H 114 SMITH,129,FULTON N Y H 114 SMITH,,,,,,h in between,114,SMITH,,,H,,,,,129,FULTON,,,,,,N Y,
50 South N Y h 74 Pacific n Clinton,Assume,50 SOUTH N Y H 74 PACIFIC N CLINTON,50,SOUTH N Y H 74 PACIFIC N CLINTON,,,,,,h in between,74,PACIFIC,,CLINTON,N,,,,,,50,,,,,,SOUTH N Y,
129 Atlantic c Henry h 131 Columbia,Assume,129 ATLANTIC C HENRY H 131 COLUMBIA,129,ATLANTIC C HENRY H 131 COLUMBIA,,,,,,h in between,131,COLUMBIA,,,H,,,,,129,ATLANTIC,,,,,,C HENRY,
46 Front N Y h 28 Joralemon,Assume,46 FRONT N Y H 28 JORALEMON,46,FRONT N Y H 28 JORALEMON,,,,,,h in between,28,JORALEMON,,,H,,,,,46,FRONT,,,,,,N Y,
Fulton market h 146 Concord,Assume,FULTON MARKET H 146 CONCORD,,,FULTON MARKET H 146 CONCORD,,,,,h in between,146,CONCORD,,,H,,,,,,FULTON MARKET,,,,,,,
157 Fulton n High h 280 Jay,Assume,157 FULTON N HIGH H 280 JAY,157,FULTON N HIGH H 280 JAY,,,,,,h in between,280,JAY,,,H,,,,,157,FULTON,,,,,,N HIGH,
Apothecaries Hall 206 Fulton c Pineapple h 22 Sands,Assume,APOTHECARIES HALL 206 FULTON C PINEAPPLE H 22 SANDS,,,APOTHECARIES HALL 206 FULTON C PINEAPPLE H 22 SANDS,,,,,h in between,22,SANDS,,,H,,,,,,PINEAPPLE,,,,,FULTON,APOTHECARIES HALL 206  C,
157 Fulton h 157 Jay Water,Assume,157 FULTON H 157 JAY WATER,157,FULTON H 157 JAY WATER,,,,,,h in between,157,WATER,,,JAY,,,,,157,FULTON,,,,,,,
47 Cliff N Y h 105 Clinton,Assume,47 CLIFF N Y H 105 CLINTON,47,CLIFF N Y H 105 CLINTON,,,,,,h in between,105,CLINTON,,,H,,,,,47,CLIFF,,,,,,N Y,
6 Linden row Fulton h 20 Willoughby,Assume,6 LINDEN ROW FULTON H 20 WILLOUGHBY,6,LINDEN ROW FULTON H 20 WILLOUGHBY,,,,,,h in between,20,WILLOUGHBY,,,H,,,,,6,LINDEN,,,,W FULTON,,RO,
225 Atlantic h 8 Garden,Assume,225 ATLANTIC H 8 GARDEN,225,ATLANTIC H 8 GARDEN,,,,,,h in between,8,GARDEN,,,H,,,,,225,ATLANTIC,,,,,,,
Pacific n Court h Baltic n Smith,Assume,PACIFIC N COURT H BALTIC N SMITH,,,PACIFIC N COURT H BALTIC N SMITH,,,,,h in between,,BALTIC,,,N SMITH,,,,,,PACIFIC,,,,,,N COURT,
145 Nassau N Y h 13 Schermerhorn,Assume,145 NASSAU N Y H 13 SCHERMERHORN,145,NASSAU N Y H 13 SCHERMERHORN,,,,,,h in between,13,SCHERMERHORN,,,H,,,,,145,NASSAU,,,,,,N Y,
6 Linden row Fulton h 20 Willoughby c Pearl,Assume,6 LINDEN ROW FULTON H 20 WILLOUGHBY C PEARL,6,LINDEN ROW FULTON H 20 WILLOUGHBY C PEARL,,,,,,h in between,20,WILLOUGHBY,,,C PEARL,,,,,6,LINDEN,,,,W FULTON,,RO,
159 Myrtle h Cumberland n Myrtle,Assume,159 MYRTLE H CUMBERLAND N MYRTLE,159,MYRTLE H CUMBERLAND N MYRTLE,,,,,,h in between,,CUMBERLAND,,,N MYRTLE,,,,,,159,,,,,,MYRTLE,
NY h 22 Henry,Assume,NY H 22 HENRY,,,NY H 22 HENRY,,,,,h in between,22,HENRY,,,H,,,,,,,,,,NY,,,
105 Wall N Y h Fleet n Fulton av,Assume,105 WALL N Y H FLEET N FULTON AV,105,WALL N Y H FLEET N FULTON AV,,,,,,h in between,,FULTON,LEE,,FT N  AV,,,,,105,WALL,,,,,,N Y,
8 Cedar NY h 35 Sydney place,Assume,8 CEDAR NY H 35 SYDNEY PLACE,8,CEDAR NY H 35 SYDNEY PLACE,,,,,,h in between,,35,,,SYDNEY PLACE,,,,,8,CEDAR,,,,NY,,,
Bridge c High h 162 Bridge,Assume,BRIDGE C HIGH H 162 BRIDGE,,,BRIDGE C HIGH H 162 BRIDGE,,,,,h in between,162,RIDGE,,,B,,,,,,RIDGE,,,,,,B C HIGH,
186 Front N Y h 52 Pierrepont,Assume,186 FRONT N Y H 52 PIERREPONT,186,FRONT N Y H 52 PIERREPONT,,,,,,h in between,52,PIERREPONT,,,H,,,,,186,FRONT,,,,,,N Y,
N Y h 163 Washington,Assume,N Y H 163 WASHINGTON,,,N Y H 163 WASHINGTON,,,,,h in between,163,WASHINGTON,,,H,,,,,,,,,,,,N Y,
195 Washington h 36 Concord,Assume,195 WASHINGTON H 36 CONCORD,195,WASHINGTON H 36 CONCORD,,,,,,h in between,36,CONCORD,,,H,,,,,195,WASHINGTON,,,,,,,
128 Water N Y h 98 Clinton,Assume,128 WATER N Y H 98 CLINTON,128,WATER N Y H 98 CLINTON,,,,,,h in between,98,CLINTON,,,H,,,,,128,WATER,,,,,,N Y,
101 William N Y factory Pearl c Front h 138 Fulton,Assume,101 WILLIAM N Y FACTORY PEARL C FRONT H 138 FULTON,101,WILLIAM N Y FACTORY PEARL C FRONT H 138 FULTON,,,,,,h in between,138,FULTON,,,H,,,,,101,WILLIAM,,,,,,N Y FACTORY PEARL C FRONT,
101 William N Y h 47 Sands,Assume,101 WILLIAM N Y H 47 SANDS,101,WILLIAM N Y H 47 SANDS,,,,,,h in between,47,SANDS,,,H,,,,,101,WILLIAM,,,,,,N Y,
22 Pine N Y h 32 Willoughby,Assume,22 PINE N Y H 32 WILLOUGHBY,22,PINE N Y H 32 WILLOUGHBY,,,,,,h in between,32,WILLOUGHBY,,,H,,,,,22,PINE,,,,,,N Y,
N Y h 245 Bridge,Assume,N Y H 245 BRIDGE,,,N Y H 245 BRIDGE,,,,,h in between,245,RIDGE,,,B,,,,,,,,,,,,N Y,
N Y h 66 Court,Assume,N Y H 66 COURT,,,N Y H 66 COURT,,,,,h in between,,66,,,COURT,,,,,,,,,,,,N Y,
N Y h 22 Garden,Assume,N Y H 22 GARDEN,,,N Y H 22 GARDEN,,,,,h in between,22,GARDEN,,,H,,,,,,,,,,,,N Y,
N Y h 113 Henry,Assume,N Y H 113 HENRY,,,N Y H 113 HENRY,,,,,h in between,113,HENRY,,,H,,,,,,,,,,,,N Y,
29 Wall N Y h 70 Pierrepont,Assume,29 WALL N Y H 70 PIERREPONT,29,WALL N Y H 70 PIERREPONT,,,,,,h in between,70,PIERREPONT,,,H,,,,,29,WALL,,,,,,N Y,
merchant 83 JohnN Y h 3 YVillow,Assume,MERCHANT 83 JOHNN Y H 3 YVILLOW,83,JOHNN Y H 3 YVILLOW,,,,,,h in between,,3,,,YVILLOW,,,,,83,JOHN,,,,,,MERCHANT  N Y,
80 Cherry N Y h 56 Adams,Assume,80 CHERRY N Y H 56 ADAMS,80,CHERRY N Y H 56 ADAMS,,,,,,h in between,56,ADAMS,,,H,,,,,80,CHERRY,,,,,,N Y,
252 Pearl N Y' h 17 Myrtle av,Assume,252 PEARL N Y' H 17 MYRTLE AV,252,PEARL N Y' H 17 MYRTLE AV,,,,,,h in between,,17,,,MYRTLE AV,,,,,252,PEARL,,,,,,N Y',
Pearl c Plymouth h 22 Henry,Assume,PEARL C PLYMOUTH H 22 HENRY,,,PEARL C PLYMOUTH H 22 HENRY,,,,,h in between,22,HENRY,,,H,,,,,,PLYMOUTH,,,,,,PEARL C,
98 Pine N Y h 20 Sands,Assume,98 PINE N Y H 20 SANDS,98,PINE N Y H 20 SANDS,,,,,,h in between,20,SANDS,,,H,,,,,98,PINE,,,,,,N Y,
98 Pine N Y h 18 Sands,Assume,98 PINE N Y H 18 SANDS,98,PINE N Y H 18 SANDS,,,,,,h in between,18,SANDS,,,H,,,,,98,PINE,,,,,,N Y,
4 Front N Y h 21 Joralemon,Assume,4 FRONT N Y H 21 JORALEMON,4,FRONT N Y H 21 JORALEMON,,,,,,h in between,21,JORALEMON,,,H,,,,,4,FRONT,,,,,,N Y,
N Y h 75 Remsen n Henry,Assume,N Y H 75 REMSEN N HENRY,,,N Y H 75 REMSEN N HENRY,,,,,h in between,75,N HENRY,,,REMSEN,,,,,,,,,,,,N Y,
103 Maiden Lane N Y h 76 Adams,Assume,103 MAIDEN LANE N Y H 76 ADAMS,103,MAIDEN LANE N Y H 76 ADAMS,,,,,,h in between,76,ADAMS,,,H,,,,,103,MAIDEN LA,,,,,,NE N Y,
Flushing c Kent av h Franklin n Park av,Assume,FLUSHING C KENT AV H FRANKLIN N PARK AV,,,FLUSHING C KENT AV H FRANKLIN N PARK AV,,,,,h in between,,FRANKLIN,,,N PARK AV,,,,,,KENT,,,,FLUSHING,,C  AV,
"coal yard h lushing c , Kent av",Assume,"COAL YARD H LUSHING C , KENT AV",,,"COAL YARD H LUSHING C , KENT AV",,,,,h in between,,KENT,,,"LUSHING C ,  AV",,,,,,,,,,,,COAL YARD,
N Y h 50 State,Assume,N Y H 50 STATE,,,N Y H 50 STATE,,,,,h in between,50,STATE,,,H,,,,,,,,,,,,N Y,
1-13 Maiden Lane N Y h 42 Court,Assume,113 MAIDEN LANE N Y H 42 COURT,,,1-13 MAIDEN LANE N Y H 42 COURT,,,,,h in between,,42,,,COURT,,,,,113,MAIDEN LA,,,,,,NE N Y,
Water c Pearl h Clinton n Fulton av,Assume,WATER C PEARL H CLINTON N FULTON AV,,,WATER C PEARL H CLINTON N FULTON AV,,,,,h in between,,CLINTON,,FULTON,N  AV,,,,,,WATER,,,,,,C PEARL,
37 South William N Y h 35 Willow Place,Assume,37 SOUTH WILLIAM N Y H 35 WILLOW PLACE,37,SOUTH WILLIAM N Y H 35 WILLOW PLACE,,,,,,h in between,35,WILLOW PL,,,ACE,,,,,37,WILLIAM,,,,,,SOUTH  N Y,
Washington market N Y h 101 Jay,Assume,WASHINGTON MARKET N Y H 101 JAY,,,WASHINGTON MARKET N Y H 101 JAY,,,,,h in between,101,JAY,,,H,,,,,,WASHINGTON MARKET,,,,,,N Y,
83 Washington h Joralemon n Henry,Assume,83 WASHINGTON H JORALEMON N HENRY,83,WASHINGTON H JORALEMON N HENRY,,,,,,h in between,,JORALEMON,,,N HENRY,,,,,83,WASHINGTON,,,,,,,
73 William N Y h 43 Cranberry,Assume,73 WILLIAM N Y H 43 CRANBERRY,73,WILLIAM N Y H 43 CRANBERRY,,,,,,h in between,43,CRANBERRY,,,H,,,,,73,WILLIAM,,,,,,N Y,
15 Cortlandt N Y h 59 Hoyt,Assume,15 CORTLANDT N Y H 59 HOYT,15,CORTLANDT N Y H 59 HOYT,,,,,,h in between,59,HOYT,,,H,,,,,15,CORTLANDT,,,,,,N Y,
23 Myrtle av c Pearl h 34,Assume,23 MYRTLE AV C PEARL H 34,23,MYRTLE AV C PEARL H 34,,,,,,h in between,,34,,,H,,,,,23,PEARL,,,,,,MYRTLE AV C,
130 Broad N Y h 101 State,Assume,130 BROAD N Y H 101 STATE,130,BROAD N Y H 101 STATE,,,,,,h in between,101,STATE,,,H,,,,,130,BROAD,,,,,,N Y,
80 Wall N Y h 107 Concord,Assume,80 WALL N Y H 107 CONCORD,80,WALL N Y H 107 CONCORD,,,,,,h in between,107,CONCORD,,,H,,,,,80,WALL,,,,,,N Y,
90 Front N Y h 113 Livingston,Assume,90 FRONT N Y H 113 LIVINGSTON,90,FRONT N Y H 113 LIVINGSTON,,,,,,h in between,113,LIVINGSTON,,,H,,,,,90,FRONT,,,,,,N Y,
104 Wall N Y h 33 Cranberry,Assume,104 WALL N Y H 33 CRANBERRY,104,WALL N Y H 33 CRANBERRY,,,,,,h in between,33,CRANBERRY,,,H,,,,,104,WALL,,,,,,N Y,
137 Front N Y h 116 Johnson,Assume,137 FRONT N Y H 116 JOHNSON,137,FRONT N Y H 116 JOHNSON,,,,,,h in between,116,JOHNSON,,,H,,,,,137,FRONT,,,,,,N Y,
137 Front N Y h 307 Bridge,Assume,137 FRONT N Y H 307 BRIDGE,137,FRONT N Y H 307 BRIDGE,,,,,,h in between,307,RIDGE,,,B,,,,,137,FRONT,,,,,,N Y,
156 Broadway N Y h Clinton av c Myrtle av,Assume,156 BROADWAY N Y H CLINTON AV C MYRTLE AV,156,BROADWAY N Y H CLINTON AV C MYRTLE AV,,,,,,h in between,,CLINTON,,,AV C MYRTLE AV,,,,,156,BROADWAY,,,,,,N Y,
58 John N Y h Atlantic n Powers,Assume,58 JOHN N Y H ATLANTIC N POWERS,58,JOHN N Y H ATLANTIC N POWERS,,,,,,h in between,,ATLANTIC,,,N POWERS,,,,,58,JOHN,,,,,,N Y,
Plymouth Ch h 197 AYash-,Assume,PLYMOUTH CH H 197 AYASH,,,PLYMOUTH CH H 197 AYASH-,,,,,h in between,197,ASH,,,AY,,,,,,PLYMOUTH,,,,,,CH,
61 Liberty N Y h 73 Livingston ington,Assume,61 LIBERTY N Y H 73 LIVINGSTON INGTON,61,LIBERTY N Y H 73 LIVINGSTON INGTON,,,,,,h in between,73,LIVINGSTON,,,INGTON,,,,,61,LIBERTY,,,,,,N Y,
43 Fulton h 72 Sands,Assume,43 FULTON H 72 SANDS,43,FULTON H 72 SANDS,,,,,,h in between,72,SANDS,,,H,,,,,43,FULTON,,,,,,,
26 John N Y h 102 Nassau,Assume,26 JOHN N Y H 102 NASSAU,26,JOHN N Y H 102 NASSAU,,,,,,h in between,102,NASSAU,,,H,,,,,26,JOHN,,,,,,N Y,
stove manÃ¢ÂÂr 45 Fulton h 103 YVilloughby,Assume,STOVE MANÃÂÂR 45 FULTON H 103 YVILLOUGHBY,,,STOVE MANÃ¢ÂÂR 45 FULTON H 103 YVILLOUGHBY,,,,,h in between,,103,,,YVILLOUGHBY,,,,,,FULTON,,,,,,STOVE MANÃÂÂR 45,
"city surveyor and engineer , Montague place c Court h 305 Gold",Assume,"CITY SURVEYOR AND ENGINEER , MONTAGUE PLACE C COURT H 305 GOLD",,,"CITY SURVEYOR AND ENGINEER , MONTAGUE PLACE C COURT H 305 GOLD",,,,,h in between,305,GOLD,,,H,,,,,,MONTAGUE,,,,,,"CITY SURVEYOR AND ENGINEER ,  PLACE C COURT",
N Y h Clinton n Myrtle av,Assume,N Y H CLINTON N MYRTLE AV,,,N Y H CLINTON N MYRTLE AV,,,,,h in between,,CLINTON,,,N MYRTLE AV,,,,,,,,,,,,N Y,
Amity h 35 Douglass,Assume,AMITY H 35 DOUGLASS,,,AMITY H 35 DOUGLASS,,,,,h in between,35,DOUGLASS,,,H,,,,,,AMITY,,,,,,,
3d av c 27th st Gowanus h Williamsburgh,Assume,3D AV C 27TH ST GOWANUS H WILLIAMSBURGH,,,3D AV C 27TH ST GOWANUS H WILLIAMSBURGH,,,,,h in between,,,WILLIAMSBURG,,H,,,,,,AV C,,,,,,3D  27TH ST GOWANUS,
63 Atlantic h 61 Court,Assume,63 ATLANTIC H 61 COURT,63,ATLANTIC H 61 COURT,,,,,,h in between,,61,,,COURT,,,,,63,ATLANTIC,,,,,,,
63 Atlantic h Hicks b Sackett and Union,Assume,63 ATLANTIC H HICKS B SACKETT AND UNION,63,ATLANTIC H HICKS B SACKETT AND UNION,,,,,,h in between,,SACKETT,,UNION,HICKS B  AND,,,,,63,ATLANTIC,,,,,,,
N Y h 7 Middagh,Assume,N Y H 7 MIDDAGH,,,N Y H 7 MIDDAGH,,,,,h in between,7,MIDDAGH,,,H,,,,,,,,,,,,N Y,
31 Broad N Y h Cheeverpln Harririson,Assume,31 BROAD N Y H CHEEVERPLN HARRIRISON,31,BROAD N Y H CHEEVERPLN HARRIRISON,,,,,,h in between,,EVE,,,CHERPLN HARRIRISON,,,,,31,BROAD,,,,,,N Y,
Furman n State h Carlton n Park av,Assume,FURMAN N STATE H CARLTON N PARK AV,,,FURMAN N STATE H CARLTON N PARK AV,,,,,h in between,,PARK,,,CARLTON N  AV,,,,,,FURMAN,,,,,,N STATE,
222 Pearl N Y h 144 Jay,Assume,222 PEARL N Y H 144 JAY,222,PEARL N Y H 144 JAY,,,,,,h in between,144,JAY,,,H,,,,,222,PEARL,,,,,,N Y,
195 Washington h 182 Adams,Assume,195 WASHINGTON H 182 ADAMS,195,WASHINGTON H 182 ADAMS,,,,,,h in between,182,ADAMS,,,H,,,,,195,WASHINGTON,,,,,,,
102 Front h S3 Henry,Assume,102 FRONT H S3 HENRY,102,FRONT H S3 HENRY,,,,,,h in between,,HENRY,,,S3,,,,,102,FRONT,,,,,,,
Sl Water N Y h State n Bond,Assume,SL WATER N Y H STATE N BOND,,,SL WATER N Y H STATE N BOND,,,,,h in between,,STATE,,,N BOND,,,,,,WATER,,,,,,SL  N Y,
N Y h 147 Hicks,Assume,N Y H 147 HICKS,,,N Y H 147 HICKS,,,,,h in between,147,HICKS,,,H,,,,,,,,,,,,N Y,
141 Atlantic h 108 Pineapple,Assume,141 ATLANTIC H 108 PINEAPPLE,141,ATLANTIC H 108 PINEAPPLE,,,,,,h in between,108,PINEAPPLE,,,H,,,,,141,ATLANTIC,,,,,,,
merchantN Yh Montague place b Henry and Hicks Water h 37 Front,Assume,MERCHANTN YH MONTAGUE PLACE B HENRY AND HICKS WATER H 37 FRONT,,,MERCHANTN YH MONTAGUE PLACE B HENRY AND HICKS WATER H 37 FRONT,,,,,h in between,37,FRONT,,,H,,,,,,MONTAGUE,,,,,,MERCHANTN YH  PLACE B HENRY AND HICKS WATER,
11 Water h 85 Prospect,Assume,11 WATER H 85 PROSPECT,11,WATER H 85 PROSPECT,,,,,,h in between,85,PROSPECT,,,H,,,,,11,WATER,,,,,,,
26 Fulton h 15 Poplar,Assume,26 FULTON H 15 POPLAR,26,FULTON H 15 POPLAR,,,,,,h in between,15,POPLAR,,,H,,,,,26,FULTON,,,,,,,
