"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"71",189,"WATER","ST","189 WATER ST","189 WATER ST","189 WATER ST","189 WATER ST"
"72",NA,"6","ST","6 ST","6 ST","6TH ST","6TH ST"
"73",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"74",159,"WATER","ST","159 WATER ST","159 WATER ST","159 WATER ST","159 WATER ST"
"75",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"76",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"77",592,"GRAND","ST","592 GRAND ST","592 GRAND ST","592 GRAND ST","592 GRAND ST"
"78",NA,"1","ST","1 ST","1 ST","1ST ST","1ST ST"
"79",851,"B.WAY","ST","851 B.WAY ST","851 B.WAY ST","851 B.WAY ST","851 B.WAY ST"
"80",127,"BROAD ,","ST","127 BROAD , ST","127 BROAD , ST","127 BROAD , ST","127 BROAD , ST"
"81",36,"ALLEN","ST","36 ALLEN ST","36 ALLEN ST","36 ALLEN ST","36 ALLEN ST"
"82",191,"WATER","ST","191 WATER ST","191 WATER ST","191 WATER ST","191 WATER ST"
"83",NA,"TWELH & AVE. C","AVE","TWELH & AVE. C AVE","TWELH & AVE. C AVE","TWELH & AVE. C AVE","TWELH & AVE. C AVE"
"84",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"85",NA,"117","ST","117 ST","117 ST","117TH ST","117TH ST"
"86",NA,"E 22 & LEXINGTN AVE.","AVE","E 22 & LEXINGTN AVE. AVE","E 22 & LEXINGTN AVE. AVE","E 22ND & LEXINGTN AVE. AVE","E 22ND & LEXINGTN AVE. AVE"
"87",NA,"BROOKLYN","ST","BROOKLYN ST","BROOKLYN ST","BROOKLYN ST","BROOKLYN ST"
"88",0,"0","ST","0 0 ST","0 0 ST","0 0TH ST","0 0TH ST"
"89",252,"STANTON","ST","252 STANTON ST","252 STANTON ST","252 STANTON ST","252 STANTON ST"
"90",193,"DIVISION","ST","193 DIVISION ST","193 DIVISION ST","193 DIVISION ST","193 DIVISION ST"
"91",NA,"AME","ST","AME ST","AME ST","AME ST","AME ST"
"92",255,"STANTON","ST","255 STANTON ST","255 STANTON ST","255 STANTON ST","255 STANTON ST"
"93",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"94",NA,"GANSEVOORT","ST","GANSEVOORT ST","GANSEVOORT ST","GANSEVOORT ST","GANSEVOORT ST"
"95",354,"BROOME","ST","354 BROOME ST","354 BROOME ST","354 BROOME ST","354 BROOME ST"
"96",83,"BROADWAY","AVE","83 BROADWAY AVE","EIGHTY-THREE BROADWAY AVE","83 BROADWAY AVE","EIGHTY-THREE BROADWAY AVE"
"97",NA,"3G  ~","ST","3G  ~ ST","3G  ~ ST","3RDG  ~ ST","3RDG  ~ ST"
"98",NA,"AMERICAN INSTITUTE 351 BROADWAY","AVE","AMERICAN INSTITUTE 351 BROADWAY AVE","AMERICAN INSTITUTE 351 BROADWAY AVE","AMERICAN INSTITUTE 351ST BROADWAY AVE","AMERICAN INSTITUTE 351ST BROADWAY AVE"
"99",42,"DOMINK","ST","42 DOMINK ST","42 DOMINK ST","42 DOMINK ST","42 DOMINK ST"
"100",176,"DUANE","ST","176 DUANE ST","176 DUANE ST","176 DUANE ST","176 DUANE ST"
"101",166,"WATER , U.S.","ST","166 WATER , U.S. ST","166 WATER , U.S. ST","166 WATER , U.S. ST","166 WATER , U.S. ST"
"102",22,"FRANKFORT","ST","22 FRANKFORT ST","22 FRANKFORT ST","22 FRANKFORT ST","22 FRANKFORT ST"
"103",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"104",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"105",NA,"3","ST","3 ST","3 ST","3RD ST","3RD ST"
"106",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"107",390,"WATER","ST","390 WATER ST","390 WATER ST","390 WATER ST","390 WATER ST"
"108",NA,"10","ST","10 ST","10 ST","10TH ST","10TH ST"
"109",29,"29","ST","29 29 ST","29 29 ST","29 29TH ST","29 29TH ST"
"110",NA,"6","ST","6 ST","6 ST","6TH ST","6TH ST"
"111",NA,"54. BROAD","ST","54. BROAD ST","54. BROAD ST","54TH. BROAD ST","54TH. BROAD ST"
"112",107,"GREENE","ST","107 GREENE ST","107 GREENE ST","107 GREENE ST","107 GREENE ST"
"113",4,"E 11","ST","4 E 11 ST","4 E 11 ST","4 E 11TH ST","4 E 11TH ST"
"114",NA,"ANG","ST","ANG ST","ANG ST","ANG ST","ANG ST"
"115",NA,"E R 29 & LEXINGTON AVE.","AVE","E R 29 & LEXINGTON AVE. AVE","E R 29 & LEXINGTON AVE. AVE","E R 29TH & LEXINGTON AVE. AVE","E R 29TH & LEXINGTON AVE. AVE"
"116",NA,". JERSEY & nan","ST",". JERSEY & NAN ST",". JERSEY & NAN ST",". JERSEY & NAN ST",". JERSEY & NAN ST"
"117",34,"SUFFOLK","ST","34 SUFFOLK ST","34 SUFFOLK ST","34 SUFFOLK ST","34 SUFFOLK ST"
"118",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"119",130,"PEARL , NATIONAL","ST","130 PEARL , NATIONAL ST","130 PEARL , NATIONAL ST","130 PEARL , NATIONAL ST","130 PEARL , NATIONAL ST"
"120",276,"CA*L","ST","276 CA*L ST","276 CA*L ST","276 CA*L ST","276 CA*L ST"
"121",NA,"ANT","ST","ANT ST","ANT ST","ANT ST","ANT ST"
"122",NA,"R 188","ST","R 188 ST","R 188 ST","R 188TH ST","R 188TH ST"
"123",40,"W 14 .","ST","40 W 14 . ST","40 W 14 . ST","40 W 14TH . ST","40 W 14TH . ST"
"124",125,"WHITE","ST","125 WHITE ST","125 WHITE ST","125 WHITE ST","125 WHITE ST"
"125",156,"AVE H","AVE","156 AVE H AVE","ONE HUNDRED FIFTY-SIX AVE H AVE","156 AVE H AVE","ONE HUNDRED FIFTY-SIX AVE H AVE"
"126",12,"BETHUNE","ST","12 BETHUNE ST","12 BETHUNE ST","12 BETHUNE ST","12 BETHUNE ST"
"127",506,"GREENWICH","ST","506 GREENWICH ST","506 GREENWICH ST","506 GREENWICH ST","506 GREENWICH ST"
"128",74,"PINE","ST","74 PINE ST","74 PINE ST","74 PINE ST","74 PINE ST"
"129",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"130",NA,"CIR LIBERTY","ST","CIR LIBERTY ST","CIR LIBERTY ST","CIR LIBERTY ST","CIR LIBERTY ST"
"131",157,"MACDOUGAL","ST","157 MACDOUGAL ST","157 MACDOUGAL ST","157 MACDOUGAL ST","157 MACDOUGAL ST"
"132",11,"AMITY","ST","11 AMITY ST","11 AMITY ST","11 AMITY ST","11 AMITY ST"
"133",133,"BOWERY","ST","133 BOWERY ST","133 BOWERY ST","133 BOWERY ST","133 BOWERY ST"
"134",111,"W 20","ST","111 W 20 ST","111 W 20 ST","111 W 20TH ST","111 W 20TH ST"
"135",9,".","ST","9 . ST","9 . ST","9 . ST","9 . ST"
"136",10,".","ST","10 . ST","10 . ST","10 . ST","10 . ST"
"137",NA,"ARN","ST","ARN ST","ARN ST","ARN ST","ARN ST"
"138",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"139",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"140",NA,"2 G.WICH,H. .JERSEY CITY","ST","2 G.WICH,H. .JERSEY CITY ST","2 G.WICH,H. .JERSEY CITY ST","2ND G.WICH,H. .JERSEY CITY ST","2ND G.WICH,H. .JERSEY CITY ST"
"141",NA,"3","ST","3 ST","3 ST","3RD ST","3RD ST"
"142",NA,"ASC","ST","ASC ST","ASC ST","ASC ST","ASC ST"
"143",56,"SUFFOLK","ST","56 SUFFOLK ST","56 SUFFOLK ST","56 SUFFOLK ST","56 SUFFOLK ST"
"144",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"145",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"146",92,"SHERIFF","ST","92 SHERIFF ST","92 SHERIFF ST","92 SHERIFF ST","92 SHERIFF ST"
"147",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"148",415,"GRAND","ST","415 GRAND ST","415 GRAND ST","415 GRAND ST","415 GRAND ST"
"149",NA,"4","ST","4 ST","4 ST","4TH ST","4TH ST"
"150",250,"W 17","ST","250 W 17 ST","250 W 17 ST","250 W 17TH ST","250 W 17TH ST"
"151",NA,"BOWERY & HESTER","ST","BOWERY & HESTER ST","BOWERY & HESTER ST","BOWERY & HESTER ST","BOWERY & HESTER ST"
"152",NA,"","ST",NA,NA,NA,NA
"153",243,"GREENWICH","ST","243 GREENWICH ST","243 GREENWICH ST","243 GREENWICH ST","243 GREENWICH ST"
"154",74,"BROADWAY","AVE","74 BROADWAY AVE","SEVENTY-FOUR BROADWAY AVE","74 BROADWAY AVE","SEVENTY-FOUR BROADWAY AVE"
"155",14,"16","ST","14 16 ST","14 16 ST","14 16TH ST","14 16TH ST"
"156",22,"IRVG PL.","PL","22 IRVG PL. PL","22 IRVG PL. PL","22 IRVG PL. PL","22 IRVG PL. PL"
"157",NA,"","ST",NA,NA,NA,NA
"158",NA," LEXINGTON AVE.","AVE","LEXINGTON AVE. AVE","LEXINGTON AVE. AVE","LEXINGTON AVE. AVE","LEXINGTON AVE. AVE"
"159",162,"SULLIVAN","ST","162 SULLIVAN ST","162 SULLIVAN ST","162 SULLIVAN ST","162 SULLIVAN ST"
"160",NA,"AUS","ST","AUS ST","AUS ST","AUS ST","AUS ST"
"161",76,"WALL","ST","76 WALL ST","76 WALL ST","76 WALL ST","76 WALL ST"
"162",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"163",151,"FRANKLIN","ST","151 FRANKLIN ST","151 FRANKLIN ST","151 FRANKLIN ST","151 FRANKLIN ST"
"164",NA,"12 & UNIVERSITY PL.","PL","12 & UNIVERSITY PL. PL","12 & UNIVERSITY PL. PL","12TH & UNIVERSITY PL. PL","12TH & UNIVERSITY PL. PL"
"165",NA,"CENTRE & READE","ST","CENTRE & READE ST","CENTRE & READE ST","CENTRE & READE ST","CENTRE & READE ST"
"166",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"167",NA,"BROOKLYN","ST","BROOKLYN ST","BROOKLYN ST","BROOKLYN ST","BROOKLYN ST"
"168",NA,"AYE","ST","AYE ST","AYE ST","AYE ST","AYE ST"
"169",NA,"E 24 & AVE. A","AVE","E 24 & AVE. A AVE","E 24 & AVE. A AVE","E 24TH & AVE. A AVE","E 24TH & AVE. A AVE"
"170",NA,"E 24 & AVE. A","AVE","E 24 & AVE. A AVE","E 24 & AVE. A AVE","E 24TH & AVE. A AVE","E 24TH & AVE. A AVE"
"171",59,"CHERRY","ST","59 CHERRY ST","59 CHERRY ST","59 CHERRY ST","59 CHERRY ST"
"172",59,"CHERRY","ST","59 CHERRY ST","59 CHERRY ST","59 CHERRY ST","59 CHERRY ST"
"173",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"174",142,"E B.WAY","ST","142 E B.WAY ST","142 E B.WAY ST","142 E B.WAY ST","142 E B.WAY ST"
"175",37,"NASSAU , NATIONAL","ST","37 NASSAU , NATIONAL ST","37 NASSAU , NATIONAL ST","37 NASSAU , NATIONAL ST","37 NASSAU , NATIONAL ST"
"176",NA,"JUDSONS","ST","JUDSONS ST","JUDSONS ST","JUDSONS ST","JUDSONS ST"
"177",299,"BROADWAY","AVE","299 BROADWAY AVE","TWO HUNDRED NINETY-NINE BROADWAY AVE","299 BROADWAY AVE","TWO HUNDRED NINETY-NINE BROADWAY AVE"
"178",30,"MARKS PL","PL","30 MARKS PL","30 MARKS PL","30 MARKS PL","30 MARKS PL"
"179",NA,"BAC","ST","BAC ST","BAC ST","BAC ST","BAC ST"
"180",NA,"","ST",NA,NA,NA,NA
"181",NA,"W BROADWAY & WARREN","AVE","W BROADWAY & WARREN AVE","W BROADWAY & WARREN AVE","W BROADWAY & WARREN AVE","W BROADWAY & WARREN AVE"
"182",157,"BOWERY","ST","157 BOWERY ST","157 BOWERY ST","157 BOWERY ST","157 BOWERY ST"
"183",328,"GMD","ST","328 GMD ST","328 GMD ST","328 GMD ST","328 GMD ST"
"184",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"185",NA,"6","ST","6 ST","6 ST","6TH ST","6TH ST"
"186",699,"GREENWICH","ST","699 GREENWICH ST","699 GREENWICH ST","699 GREENWICH ST","699 GREENWICH ST"
"187",132,"WATER","ST","132 WATER ST","132 WATER ST","132 WATER ST","132 WATER ST"
"188",NA,"WALL & SOUTH","ST","WALL & SOUTH ST","WALL & SOUTH ST","WALL & SOUTH ST","WALL & SOUTH ST"
"189",26,"218W 26","ST","26 218W 26 ST","26 218W 26 ST","26 218THW 26 ST","26 218THW 26 ST"
"190",175,"ORCHARD","ST","175 ORCHARD ST","175 ORCHARD ST","175 ORCHARD ST","175 ORCHARD ST"
"191",NA,"H. .JERSEY C.","ST","H. .JERSEY C. ST","H. .JERSEY C. ST","H. .JERSEY C. ST","H. .JERSEY C. ST"
"192",NA,"","ST",NA,NA,NA,NA
"193",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"194",NA,"9 & AVE. C","AVE","9 & AVE. C AVE","9 & AVE. C AVE","9TH & AVE. C AVE","9TH & AVE. C AVE"
"195",292,"292","ST","292 292 ST","292 292 ST","292 292ND ST","292 292ND ST"
"196",NA,"9 & AVE. C","AVE","9 & AVE. C AVE","9 & AVE. C AVE","9TH & AVE. C AVE","9TH & AVE. C AVE"
"197",97,"LUDLOW","ST","97 LUDLOW ST","97 LUDLOW ST","97 LUDLOW ST","97 LUDLOW ST"
"198",113,"DIVISION","ST","113 DIVISION ST","113 DIVISION ST","113 DIVISION ST","113 DIVISION ST"
"199",273,"DELANCEY","ST","273 DELANCEY ST","273 DELANCEY ST","273 DELANCEY ST","273 DELANCEY ST"
"200",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"201",NA,"BAK","ST","BAK ST","BAK ST","BAK ST","BAK ST"
"202",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"203",76,"AVE H","AVE","76 AVE H AVE","SEVENTY-SIX AVE H AVE","76 AVE H AVE","SEVENTY-SIX AVE H AVE"
"204",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"205",22,"WATTS","ST","22 WATTS ST","22 WATTS ST","22 WATTS ST","22 WATTS ST"
"206",7,", A","ST","7 , A ST","7 , A ST","7 , A ST","7 , A ST"
"207",NA,"6","ST","6 ST","6 ST","6TH ST","6TH ST"
"208",NA,"11","ST","11 ST","11 ST","11TH ST","11TH ST"
"209",NA,"W 29 & AV10","ST","W 29 & AV10 ST","W 29 & AV10 ST","W 29TH & AV10 ST","W 29TH & AV10 ST"
"210",318,"GRAND","ST","318 GRAND ST","318 GRAND ST","318 GRAND ST","318 GRAND ST"
"211",NA,"4","ST","4 ST","4 ST","4TH ST","4TH ST"
"212",NA,"4","ST","4 ST","4 ST","4TH ST","4TH ST"
"213",171,"DIVISION","ST","171 DIVISION ST","171 DIVISION ST","171 DIVISION ST","171 DIVISION ST"
"214",98,"AVE H","AVE","98 AVE H AVE","NINETY-EIGHT AVE H AVE","98 AVE H AVE","NINETY-EIGHT AVE H AVE"
"215",59,"BOWERY","ST","59 BOWERY ST","59 BOWERY ST","59 BOWERY ST","59 BOWERY ST"
"216",59,"BWRY","ST","59 BWRY ST","59 BWRY ST","59 BWRY ST","59 BWRY ST"
"217",NA,"45SUFFOLK","ST","45SUFFOLK ST","45SUFFOLK ST","45THSUFFOLK ST","45THSUFFOLK ST"
"218",NA,"1B3 HAMERSLEY","ST","1B3 HAMERSLEY ST","1B3 HAMERSLEY ST","1STB3 HAMERSLEY ST","1STB3 HAMERSLEY ST"
"219",291,"BROOME","ST","291 BROOME ST","291 BROOME ST","291 BROOME ST","291 BROOME ST"
"220",87,"CEDAR , Ã¢ÂÂ MARKET","ST","87 CEDAR , Ã¢ÂÂ MARKET ST","87 CEDAR , Ã¢ÂÂ MARKET ST","87 CEDAR , Ã¢ÂÂ MARKET ST","87 CEDAR , Ã¢ÂÂ MARKET ST"
"221",85,"THOMPSON","ST","85 THOMPSON ST","85 THOMPSON ST","85 THOMPSON ST","85 THOMPSON ST"
"222",NA,"CENTRE & READE ,","ST","CENTRE & READE , ST","CENTRE & READE , ST","CENTRE & READE , ST","CENTRE & READE , ST"
"223",NA,"4","ST","4 ST","4 ST","4TH ST","4TH ST"
"224",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"225",125,"BOWERY","ST","125 BOWERY ST","125 BOWERY ST","125 BOWERY ST","125 BOWERY ST"
"226",NA,"Ã¢ÂÂ 6 CT","CT","Ã¢ÂÂ 6 CT","Ã¢ÂÂ 6 CT","Ã¢ÂÂ 6TH CT","Ã¢ÂÂ 6TH CT"
"227",NA,"NASSAU & ANN","ST","NASSAU & ANN ST","NASSAU & ANN ST","NASSAU & ANN ST","NASSAU & ANN ST"
"228",47,"3","ST","47 3 ST","47 3 ST","47 3RD ST","47 3RD ST"
"229",NA,"WALL & WILLIAM","ST","WALL & WILLIAM ST","WALL & WILLIAM ST","WALL & WILLIAM ST","WALL & WILLIAM ST"
"230",25,"VANDEWATER","ST","25 VANDEWATER ST","25 VANDEWATER ST","25 VANDEWATER ST","25 VANDEWATER ST"
"231",NA," W 30","ST","W 30 ST","W 30 ST","W 30TH ST","W 30TH ST"
"232",NA,"MADISON AVE & E 32","AVE","MADISON AVE & E 32 AVE","MADISON AVE & E 32 AVE","MADISON AVE & E 32ND AVE","MADISON AVE & E 32ND AVE"
"233",289,"B.WAY","ST","289 B.WAY ST","289 B.WAY ST","289 B.WAY ST","289 B.WAY ST"
"234",NA,"10","ST","10 ST","10 ST","10TH ST","10TH ST"
"235",NA,"3","ST","3 ST","3 ST","3RD ST","3RD ST"
"236",347,"WATER , WILLIAMSBURG","ST","347 WATER , WILLIAMSBURG ST","347 WATER , WILLIAMSBURG ST","347 WATER , WILLIAMSBURG ST","347 WATER , WILLIAMSBURG ST"
"237",1,"AVE H","AVE","1 AVE H AVE","ONE AVE H AVE","1 AVE H AVE","ONE AVE H AVE"
"238",NA,"OF DRAWING AND PENMANSHIP 49 BEDFORD","DR","OF DRAWING AND PENMANSHIP 49 BEDFORD DR","OF DRAWING AND PENMANSHIP 49 BEDFORD DR","OF DRAWING AND PENMANSHIP 49TH BEDFORD DR","OF DRAWING AND PENMANSHIP 49TH BEDFORD DR"
"239",154,"W 20","ST","154 W 20 ST","154 W 20 ST","154 W 20TH ST","154 W 20TH ST"
"240",NA,"FOOT HUBERT AND 522 G.WICH","ST","FOOT HUBERT AND 522 G.WICH ST","FOOT HUBERT AND 522 G.WICH ST","FOOT HUBERT AND 522ND G.WICH ST","FOOT HUBERT AND 522ND G.WICH ST"
"241",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"242",19,"DOMINICK","ST","19 DOMINICK ST","19 DOMINICK ST","19 DOMINICK ST","19 DOMINICK ST"
"243",11,"VANDAM","ST","11 VANDAM ST","11 VANDAM ST","11 VANDAM ST","11 VANDAM ST"
"244",NA,"422","ST","422 ST","422 ST","422ND ST","422ND ST"
"245",239,"DIVISION","ST","239 DIVISION ST","239 DIVISION ST","239 DIVISION ST","239 DIVISION ST"
"246",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"247",NA,"11","ST","11 ST","11 ST","11TH ST","11TH ST"
"248",NA,"BARNUMS 176 B.WAY","ST","BARNUMS 176 B.WAY ST","BARNUMS 176 B.WAY ST","BARNUMS 176TH B.WAY ST","BARNUMS 176TH B.WAY ST"
"249",7,"AVE B","AVE","7 AVE B AVE","SEVEN AVE B AVE","7 AVE B AVE","SEVEN AVE B AVE"
"250",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
