,hn_1,best_match
164,34.0,ELIZABETH
165,119.0,LEWIS
166,30.0,5
167,457.0,WEST 95 BANK
168,33.0,FRONT
169,129.0,CHARLES
170,159.0,CHATHAM
171,76.0,MULBERRY
172,391.0,BROOME
173,45.0,BROADWAY 16 STATE
174,54.0,AVE C
175,588.0,4
176,2.0,BOWERY
177,,9 & AVE C
178,208.0,ELM
179,279.0,DELANCEY
180,35.0,CLINTON PL
181,721.0,BROADWAY
182,25.0,AVE B
183,49.0,AVE B
184,529.0,GREENWICH
185,215.0,W 18
186,62.0,6
187,151.0,W BROADWAY
188,367.0,6
189,536.0,PEARL
190,134.0,BROOME
191,241.0,MOTT
192,8.0,UNIVERSITY PL
193,43.0,NEW
194,149.0,BOWERY
195,,E 22D & AVE 3
196,92.0,DELANCEY
197,346.0,6
198,6.0,COLUMBIA PL
199,153.0,GOERCK
200,184.0,SPRING
201,22.0,MULBERRY
202,27.0,COLUMBIA
203,214.0,E 11
204,,12 & DRY DOCK
205,75.0,VARICK
206,203.0,MERCER
207,,HARLEM
208,34.0,AVE B
209,284.0,E 13
210,,STARR
211,46.0,HUDSON
212,18.0,DOYER
213,19.0,PELL
214,5.0,STATE
215,192.0,AVE 1
216,127.0,RIDGE
217,115.0,DELANCEY
218,0.0,BEEKMAN
219,564.0,GRAND
220,200.0,FULTON
221,113.0,CLINTON
222,115.0,PEARL
223,254.0,WASHINGTON JERSEY CITY
224,195.0,MONROE
225,217.0,W 18
226,161.0,MADISON
227,65.0,S 5 WILLIAMSBURG
228,687.0,HUDSON
229,675.0,4
230,21.0,AVE C
231,,B KLYN
232,65.0,MONROE
233,263.0,3
234,128.0,SUFFOLK
235,12.0,WASHINGTON SQ
236,674.0,4
237,90.0,ESSEX
238,82.0,E BROADWAY
239,600.0,4
240,58.0,CEDAR
241,297.0,3
242,121.0,WATER
243,,ASTOR
244,552.0,BROADWAY
245,302.0,3
246,350.0,AVE 1
247,,BROOKLYN
248,37.0,AVE D
249,12.0,WALL
250,15.0,UNION PL
251,449.0,W 29
252,650.0,4
253,650.0,4
254,,EF 23D & AVE 4
255,263.0,3
256,303.0,ELIZABETH
257,95.0,GREENWICH ALY
258,238.0,WM
259,205.0,3
260,107.0,ALLEN
261,243.0,3
262,213.0,3
263,592.0,4
264,12.0,UNION S PL
265,617.0,4
266,241.0,E 25
267,102.0,NASSAU
268,13.0,5
269,629.0,4
270,39.0,WALKER
271,9.0,WARREN PL
272,55.0,CANNON
273,,BROOKLYN
274,39.0,BROADWAY
275,291.0,3
276,114.0,VARICK
277,65.0,SULLIVAN
278,,BROADWAY & W 32D
279,299.0,W 25
280,76.0,BROAD
281,1.0,WALL
282,651.0,WASHINGTON
283,67.0,HAMERSLY
284,214.0,10
285,120.0,COLUMBIA
286,260.0,GRAND
287,260.0,GRAND
288,129.0,3
289,120.0,
290,71.0,
291,72.0,
292,37.0,E 20
293,,S TAYLOR
294,280.0,AVE 3
295,,124E BROADWAY
296,,GREEN
297,110.0,12
298,,BROOKLYN
299,100.0,YORK JERSEY CITY
300,4.0,TOMPKINS
301,471.0,GRAND
302,47.0,N MOORE
303,,CT & JORA
304,20.0,NORFOLK
305,,BROOKLYN
306,100.0,
307,29534.0,PEARL
308,141.0,FRONT
309,790.0,WASHGTN
310,42.0,ESSEX
311,250.0,STANTON
312,84.0,LUDLOW
313,,254E BROADWAY
314,,S ABBOTT COLLEGIATE
315,543.0,LAIGHT
316,260.0,GREENE
317,,INSTITUTION FOR YOUNG
318,170.0,ATTORNEY
319,,158W 20
320,349.0,CHERRY
321,,E 30 & AVE 3
322,,PHILADELPHIA
323,75.0,MONTGOMERY
324,,W 40 & BROADWAY
325,4.0,LUDLOW
326,833.0,GREENWICH AND
327,187.0,FORSYTH
328,117.0,CEDAR
329,,W 29 & AVE 8
330,117.0,CEDAR
331,94.0,LEWIS
332,584.0,HOUSTON
333,24.0,2
334,37734.0,GRAND
335,125.0,AVE 2
336,190.0,SOUTH
337,474.0,BROADWAY
338,,CITY
339,152.0,NORFOLK
340,,
341,32.0,CLARKSON
342,71.0,CANNON
343,37.0,WOOSTER
344,103.0,MONROE
345,359.0,RIVINGTON
346,1.0,HAMMOND
347,40.0,GREENE
348,77.0,AVE 4
349,140.0,B S RATHBUN
350,47.0,CHERRY
351,,PORTCHESTER
352,,PORTCHESTER
353,,PORTCHESTER
354,,PTCHESTER
355,429.0,AVE 6136W 28
356,,W 27 & AVE 6
357,333.0,AVE 6
358,90.0,RIDGE
359,10.0,E 14
360,199.0,W 24
361,96.0,CHARLTON
362,98.0,1
363,,BROOKLYN
364,180.0,HENRY BALYN
365,73.0,BROOME
366,2.0,LEWIS
367,165.0,2
368,124.0,STANTON
369,185.0,CLINTON 185 CLA
370,185.0,RIVINGTON
371,102.0,COLUMBIA
372,455.0,PEARL
373,225.0,7
374,64.0,CROSBY
375,97.0,CHTHM
376,308.0,RIVINGTON
377,155.0,W BROADWAY
378,32.0,ORCHARD
379,465.0,PEARL
380,97.0,W 16
381,20.0,WOOSTER
382,32.0,GOERCK
383,16.0,MERCER
384,32.0,GOERCK
385,403.0,10
386,144.0,FRONT
387,58.0,GROVE
388,267.0,SPRING
389,305.0,9
390,443.0,BROADWAY
391,,N JERSEY
392,58.0,LISPENARD
393,111.0,HUDSON
394,141.0,FRANKLIN
395,,GERMANY
396,57.0,AMOS
397,145.0,HOUSTON
398,,W 26 & AVE 7
399,51.0,N MOORE
400,89.0,LUDLOW
401,41.0,WALKER
402,133.0,WILLETT
403,228.0,W 24
404,119.0,DELANCEY
405,65.0,W 27
406,65.0,W 27
407,98.0,CHARLES
408,89.0,BARROW
409,662.0,WATER
410,25.0,COLL PL
411,147.0,SULLIVAN
412,205.0,STANTON
413,178.0,W 16
414,261.0,ELIZBTH
415,64.0,CEDAR
416,18.0,FACTORY
417,55.0,BAYARD
418,7.0,MORTON
419,4.0,VANDAM
420,145.0,AMOS
421,,W 138 & AVE 8
422,1554.0,DIVISION
423,170.0,HOUSTON
424,84.0,WALNUT
425,64.0,CEDAR
426,44.0,SHERIFF
427,140.0,FRANKLIN
428,170.0,E 27
429,53.0,BANK
430,7.0,AVE 7 & W DIST
431,678.0,GREENWICH
432,133.0,FRANKLIN
433,105.0,BRELY
434,37.0,RENWICK
435,118.0,GREENWICH AVE
436,714.0,WASHINGTON
437,5.0,JONES
438,5.0,MORTON
439,,AVE W 7C 20
440,30.0,CHARLES
441,144.0,AMOS
442,24.0,ROSE
443,241.0,AVE 8
444,150.0,W 17
445,181.0,WILLIAM
446,5.0,W BROADWAY PL
447,260.0,
448,130.0,HAMMOND
449,86.0,W 16
450,187.0,W 16
451,646.0,HUDSON
452,187.0,W 16
453,186.0,E 11
454,54.0,SULLIVAN
455,284.0,HUDSON
456,372.0,HOUSTON
457,140.0,AMITY
458,78.0,WAIL
459,94.0,ATTORNEY
460,134.0,W 16
461,160.0,HAMMOND
462,,W 29 & AVE 19
463,164.0,SPRING
464,,HOYT & ATLANTIC BROOKLYN
465,130.0,TROY AND 170 HAMMOND
466,60.0,BROOME
467,133.0,FRANKLIN
468,92.0,GROVE
469,42.0,CANAL W 12 BROADWAY PL
470,55.0,HOUSTON
471,175.0,4
472,174.0,W 28
473,,W 36 & AVE 9
474,,W 30 AVE 7
475,,W 22D & AVE 7
476,18.0,MINETTA LA
477,43.0,RENWICK
478,,NEWARK
479,173.0,W 22D
480,25.0,BETHUNE
481,372.0,HOUSTON
482,103.0,NASSAU
483,26034.0,DIVISION
484,262.0,STANTON
485,4744.0,FRANKFORT
486,246.0,W 24
487,150.0,W 20
488,287.0,W 17
489,697.0,WASHINGTON
490,161.0,HAMMOND
491,172.0,AMOS
492,205.0,SULLIVAN
493,29.0,JONES
494,17.0,BROOME
495,279.0,AVE 3
496,162.0,W BROADWAY
497,161.0,HAMMOND
498,714.0,WASHINGTON
499,17.0,BROOME
500,160.0,GRAND
501,143.0,DUFFIELD
502,607.0,WATER
503,143.0,DUFFIELD
504,140.0,FRANKLIN
505,275.0,MULBERR
506,230.0,CANAL
507,132.0,SANDS BRKLYN
508,93.0,POWERS
509,224.0,WOOSTER
510,,W 18 & ALY 6
511,249.0,W 13
512,48.0,LUDLOW
513,,W 28 & AVE 10
514,230.0,W 24 HERRY
515,190.0,C
516,124.0,AVE 7
517,734.0,TRINITY PL
518,97.0,READE
519,61.0,1
520,19.0,ANN
521,,BROOKLYN
522,266.0,MADISON
523,,BOSTON
524,43.0,FORSYTH
525,,W 35 & BROADWAY
526,148.0,HAMMOND
527,147.0,W 28
528,34.0,BANK
529,646.0,WATER
530,306.0,W 24
531,91.0,CANNON
532,176.0,HUDSON
533,176.0,HUDSON
534,47.0,WHITE
535,19.0,STANTON
536,,E 25 & LEXINGTON AVE
537,70044.0,GREENWICH
538,13.0,WALL
539,9.0,SHERIFF
540,16.0,ROOSEVELT
541,91.0,CANNON
542,,W 28 & AVE 8
543,309.0,PEARL
544,41.0,WALL
545,75.0,MOTT
546,,
547,,BROOKLYN
548,241.0,CANAL
549,117.0,MADISON
550,,W 40 & AVE 7
551,159.0,W 15
552,64.0,12
553,164.0,W 18
554,47.0,AMITY
555,412.0,GREENWICH
556,122.0,WARREN
557,687.0,GREENWICH
558,36.0,SCAMMEL
559,38.0,VARICK
560,124.0,BROAD
561,36.0,HUBERT
562,27.0,HORATIO
563,,S BARNUM
564,47.0,AMITY
565,87.0,MADISON
566,180.0,AVE C
567,75.0,E 15
568,111.0,SUFFOLK
569,215.0,WALKER
570,165.0,MAIDEN LN
571,252.0,W 16
572,,W MSBURG
573,687.0,GREENWICH
574,343.0,AVE 4
575,59.0,WARREN
576,2.0,W BROADWAY PL
577,296.0,GREENWICH
578,,W 40 AVE 7
579,55.0,LEONARD
580,27.0,HORATIO
581,97.0,READE
582,,W 29 AVE 9
583,145.0,WASHINGTON S DUNNING
584,307.0,BLEECKER
585,114.0,HUDSON
586,225.0,AVE 8
587,6.0,JORALEMON
588,51.0,E 16
589,121.0,82D WILLIAMSBURGH
590,51.0,E 16
591,216.0,ALY 6
592,298.0,BROADWAY
593,241.0,BLEECKER
594,316.0,GOLD BRKLYN
595,71.0,WALL
596,385.0,AVE 6
597,104.0,BOWERY
598,126.0,FRANKLIN
599,198.0,CHATHAM SQ
600,51.0,SOUTH
601,199.0,HOUSTON
602,178.0,AVE 3
603,601.0,HOUSTON
604,186.0,CHURCH
605,28.0,PERRY
606,193.0,AVE 8
607,3.0,ANTHONY
608,422.0,CHERRY
609,348.0,BWRY
610,244.0,FULTON
611,124.0,NASSAU
612,260.0,SOUTH
613,87.0,WALL
614,145.0,WASHINGTON
615,16.0,WALL
616,75.0,FRONT
617,51.0,SOUTH
618,74.0,FRONT
619,18.0,SOUTH
620,148.0,FRONT
621,399.0,4
622,94.0,ELDRIDGE
623,6.0,BOWERY
624,311.0,BROADWAY
625,188.0,W 25
626,57.0,AVE 6
627,7.0,W 27
628,52.0,AVE 3
629,266.0,2
630,650.0,HUDSON
631,275.0,BROADWAY
632,158.0,HENRY
633,,BROOKLYN
634,,W 30 & AVE 6
635,389.0,BROADWAY
636,299.0,BROOME
637,33.0,LEXINGTON AVE
638,150.0,W 16
639,61.0,SUFFOLK
640,77.0,PITT
641,,E 28 & AVE 3
642,159.0,E 14
643,85.0,12
644,191.0,CLINTON
645,416.0,AVE 3
646,248.0,HOUSTON
647,303.0,HOUSTON
648,84.0,ELDRIDGE
649,76.0,STANTON
650,105.0,MOTT
651,94.0,WARREN
652,33.0,HENRY
653,159.0,PEARL
654,109.0,MERCER
655,10.0,ALY 10 & W 33D AVE 10 W C 33D
656,73.0,DUANE
657,40.0,E 28
658,105.0,HENRY
659,270.0,DIVISION
660,216.0,STANTON
661,4.0,WOOSTER
662,282.0,BOWRY
663,34.0,ALLEN
664,95.0,CANAL
665,159.0,2
666,252.0,DELANCEY
667,69.0,LUDLOW
668,8.0,CLARKSON
669,50.0,BOWERY
670,423.0,PEARL
671,265.0,BROADWAY
672,300.0,DIV SN
673,50.0,DOWNING
674,87.0,BARROW
675,48.0,TRINITY PL
676,3.0,AVE 3 & nan
677,16.0,VARICK PL
678,251.0,10
679,10.0,2
680,93.0,PITT
681,566.0,BROADWAY
682,15.0,FORSYTH
683,19.0,AVE A
684,,N Y 66 WALL
685,72.0,WALL
686,106.0,LEWIS
687,584.0,WATER
688,98.0,CHMBRS
689,,UP STAIRS
690,142.0,LEWIS
691,265.0,DIVISION
692,54.0,BRELY
693,523.0,WASHINGTON
694,114.0,BOWERY
695,383.0,CHERRY
696,383.0,CHERRY
697,99.0,ORANGE
698,27.0,MULBERRY
699,26.0,AVE B
700,31.0,EK 21
701,246.0,W 20
702,321.0,5
703,33.0,ANTHONY
704,234.0,CLINTON
705,245.0,ELIZABETH
706,154.0,GREENWICH
707,434.0,10
708,8.0,AVE 8 & 48
709,377.0,9
710,224.0,E 13
711,31.0,E 21
712,230.0,DELNE
713,13.0,RUTGERS PL
714,25.0,9
715,76.0,BROAD
716,320.0,MONROE
717,320.0,MONROE
718,334.0,8
719,364.0,CHERRY
720,89.0,MARKET
721,430.0,CHERRY
722,22.0,PRINCE
723,75.0,FRANKFORT
724,358.0,CHERRY
725,196.0,CHAMBERS
726,,EUROPE
727,272.0,DIVISION
728,176.0,W 18
729,,BROOKLYN
730,483.0,GREENWICH
731,148.0,WOOSTER
732,196.0,CHERRY
733,324.0,ANN
734,106.0,AVE C
735,240.0,WILLIAM AND 10 DUANE 240 WILLIAM
736,330.0,AVE 3
737,,W 30 & AVE 7 W BH N 30 AVE 7
738,148.0,WOOSTER
739,665.0,WASHINGTON
740,59.0,KING
741,475.0,WASHINGTON
742,92.0,SHERIF
743,141.0,PEARL
744,171.0,FRONT S EARLE
745,7.0,JACKSON SL
746,231.0,10
747,187.0,MADISON
748,29.0,RUTGERS
749,124.0,MADISON
750,42.0,MCDOUGAL
751,105.0,MONROE
752,124.0,MADISON
753,89.0,PINE
754,237.0,RIVINGTON
755,3.0,E 28
756,73.0,AVE 2
757,118.0,E 13
758,48.0,AVE 3
759,10.0,
760,174.0,HUDSON
761,93.0,HESTER
762,26.0,LUDLOW
763,121.0,DIVISION
764,175.0,W 21
765,6.0,AMITY PL
766,252.0,W 16
767,301.0,6
768,22.0,NORFOLK
769,22.0,PRINCE
770,423.0,BROADWAY 196 PRINCE
771,,AVE E 2C 27
772,298.0,HUDSON
773,398.0,WEST
774,298.0,HDSN
775,85.0,HMND
776,173.0,S TH
777,298.0,HUDSON
778,423.0,BROADWAY
779,40.0,VANDAM
780,173.0,AVE 6
781,278.0,SPRING
782,,329W 24
783,6.0,STANTON
784,181.0,AVE 6181 AVE 6
785,228.0,AVE 8
786,,WILLIAMSBURG
787,119.0,SUFFOLK
788,17.0,STNTN
789,150.0,BOWERY
790,425.0,AVE 6
791,231.0,2
792,75.0,FORSYTH
793,,SACKETT & CT BROOKLYN
794,415.0,GREENWICH
795,17.0,PERRY
796,559.0,4
797,21.0,JACOB 92 GOLD
798,244.0,5
799,,W 88 & AVE 5
800,16.0,SOUTH
801,,1243G CANNON
802,194.0,HOUSTON
803,125.0,ORCHRD
804,58.0,MARKET
805,663.0,HOUSTON
806,26.0,WEST
807,884.0,10
808,245.0,5
809,173.0,ALA
810,197.0,2
811,210.0,W 26
812,152.0,CHERRY
813,36934.0,PEARL
814,36932.0,PEARL
815,420.0,10
816,159.0,CHARLES
817,745.0,GREENWICH
818,,
819,251.0,DIVISION
820,63.0,CARMINE
821,391.0,PEARL
822,14.0,BROOME
823,431.0,HOUSTON
824,431.0,HOUSTON
825,29.0,DOWNING
826,200.0,GREENE
827,105.0,AVE 7
828,82.0,AVE D
829,44.0,WALL
830,192.0,DELANCEY
831,79.0,CANNON
832,152.0,4
833,260.0,STNTN
834,103.0,1
835,194.0,HOUSTON
836,142.0,GRND
837,92.0,KIN
838,101.0,NORFOL
839,379.0,BOWERY
840,389.0,GREENWICH
841,167.0,BOW RY
842,,ELIZABETHT WN
843,153.0,NORFOLK
844,167.0,BOWERY
845,328.0,BOWRY
846,455.0,HUDSON
847,253.0,BOWERY
848,156.0,BOWERY AND 256 GRAND
849,72.0,
850,141.0,PEARL
851,,BLEECKER & WOOSTER
852,202.0,GREENE
853,163.0,BARROW
854,194.0,VARICK
855,44.0,DEY
856,77.0,CENTRE
857,72.0,MARKET
858,78.0,CHAMBERS
859,30.0,CARMINE
860,9.0,STATE
861,9.0,STATE
862,308.0,HUDSON 140 VARICK
863,51.0,MORTON
864,276.0,W 29
865,,BROOKLYN
866,183.0,CHMBRS
867,112.0,WEST NORTH RN
868,43.0,1
869,,HURLGATE
870,15.0,GOERCK
871,49.0,E 16
872,54.0,HORATIO
873,295.0,PEARL
874,19.0,CITY HALL
875,142.0,AVE 3
876,31.0,CANNON
877,22.0,CITY HALL PL
878,8.0,E 14
879,,E 26 & LEX ALY
880,172.0,AVE A
881,99.0,PRINCE
882,205.0,STANTON
883,67.0,LIBERTY
884,314.0,RIVINGTON
885,260.0,E 25
886,36.0,BEDFORD
887,0.0,W 20
888,663.0,HOUSTN
889,,W 31 AVE 9
890,74.0,READE
891,19.0,PRINCE
892,188.0,LUDLOW
893,87.0,ESSEX
894,229.0,2
895,80.0,NASSAU
896,299.0,6
897,128.0,
898,7.0,SPRUCE PROSPECT
899,,HICKS & SACKETT BROOKLYN
900,77.0,E 27
901,422.0,GRAND
902,25.0,ATTORNE
903,244.0,SECND
904,503.0,HOUSTON
905,164.0,CANAL
906,6.0,W 27
907,83.0,HESTER
908,131.0,GOERCK
909,,BROOKLYN
910,350.0,AVE 6
911,24.0,RIVINGTON
912,378.0,9
913,69.0,CANNON
914,5.0,AVE 3
915,150.0,LEWIS
916,380.0,10
917,119.0,3
918,32.0,LEWIS
919,88.0,JOHN
920,271.0,MONROE
921,91.0,OLIVER
922,7.0,ANTHONY
923,122.0,W 19
924,551.0,BROOME
925,60.0,HENRY
926,88.0,JOHN
927,14.0,E 18
928,5.0,CHAMBERS
929,65.0,FULTON
930,104.0,GRND
931,47.0,ANN 198 WILLIAM
932,47.0,ANN
933,550.0,GRAND 14 CANNON
934,174.0,ESSEX
935,21.0,HAMMOND
936,5.0,PLATT
937,41.0,ALLEN
938,58.0,STANTON
939,94.0,W BROADWAY
940,127.0,FRANKLIN
941,,
942,,JERSEY CITY
943,85.0,DEY
944,72.0,PIKE
945,107.0,E 27
946,10.0,LEWIS
947,100.0,OLIVER
948,29.0,AVE A
949,341.0,4
950,33.0,CANAL
951,504.0,HUDSON
952,248.0,RIVINGTON
953,523.0,HDSN 15 MORTON
954,214.0,BROOME
955,636.0,GREENWICH
956,,WMSBURG
957,266.0,MONROE
958,10.0,MORTON
959,169.0,HENRY
960,164.0,CHRISTOPHER
961,534.0,HUDSON
962,,WMSBG CHERRY
963,203.0,W 24
964,161.0,MOTT
965,22.0,MORTON
966,468.0,HOUSTON
967,22.0,MORTON
968,262.0,7
969,61.0,LEROY
970,419.0,BROADWAY 93 MORTON
971,44.0,BROOME
972,149.0,WOOSTER
973,9.0,W AND 37
974,113.0,CHERRY
975,17.0,VANDEWATER
976,53.0,WATTS
977,226.0,WASHGTN
978,,E 42D AVE 3
979,152.0,VARICK
980,37.0,ROSE
981,27.0,RIDGE
982,,WYCK FF BRKLYN
983,70.0,G WICH
984,18.0,WHITE
985,24.0,PERRY
986,341.0,BROADWAY
987,131.0,E 21
988,,E 41 & AVE 1
989,189.0,AND 191 WATER
990,44.0,HUBERT
991,46.0,HUBERT
992,,AVE W 8C 29
993,44.0,SIDNEY PL
994,,W 18 & AVE 6
995,,W 37 & AVE 9
996,267.0,AVE 3
997,564.0,GRAND
998,37.0,BOWERY
999,267.0,AVE 3
1000,189.0,WATER
1001,45.0,ROOSEVELT
1002,,PO KEEPSIE
1003,,W 32D & AVE 7
1004,486.0,GREENWICH
1005,13.0,MURRAY
1006,134.0,FRANKLIN
1007,324.0,9
1008,105.0,KING
1009,4.0,PATCHIN PL
1010,28.0,WARREN
1011,,W 25 & AVE 7
1012,84.0,LUDLOW
1013,150.0,CHRISTOPHER
1014,74.0,READE
1015,,W 40 & AVE 8
1016,77.0,NASSAU BKLYN
1017,60.0,E 27
1018,145.0,FORSYTH
1019,59214.0,GRAND
1020,87.0,THOMPSON
1021,,E 24 & AVE 1
1022,19.0,HOWARD
1023,46.0,1
1024,25.0,CORNELIA
1025,881.0,BROADWAY
1026,256.0,FULTON
1027,688.0,4
1028,204.0,AVE 3
1029,51.0,SULLIVAN
1030,116.0,CHARLES
1031,183.0,BARROW
1032,13.0,ROSE
1033,183.0,AVE C
1034,267.0,W 1
1035,,FT 12949
1036,40.0,DELANCEY
1037,428.0,4
1038,390.0,4
1039,11.0,PITT
1040,214.0,W 15
1041,44.0,FORSYTH
1042,45.0,ROOSEVELT
1043,58.0,CEDAR
1044,,ESSEX & RIVINGTON
1045,104.0,GREENE
1046,202.0,G WICH
1047,25.0,CLINTON
1048,15.0,WALL
1049,127.0,BROAD
1050,161.0,CHARLES
1051,101.0,ATTORNEY
1052,716.0,4
1053,526.0,BROOME
1054,681.0,WASHINGTON
1055,83.0,GRAND
1056,355.0,BROOME
1057,41.0,SCAMMEL
1058,19.0,DOYERS
1059,201.0,MULBERT
1060,462.0,HUDSC
1061,169.0,W 21
1062,102.0,ADAMS
1063,66.0,ROOSEVELT
1064,110.0,VESEY 110 VESEY
1065,189.0,10
1066,234.0,WW Q1
1067,221.0,VARICK
1068,16.0,BANK
1069,113.0,ELDRIDGE
1070,36.0,ALLEN
1071,,BROOKLYN
1072,16.0,BANK
1073,37.0,CANNON
1074,110.0,VESEY
1075,23.0,COENTIES SLIP
1076,30.0,AVE 8
1077,25.0,CLINTON
1078,323.0,WASHINGTON
1079,119.0,AVE 4
1080,293.0,W 19
1081,136.0,THOMPSO
1082,11.0,S CLEMENT P
1083,153.0,ELM
1084,58.0,FRONT
1085,22.0,UNIVERSITY P
1086,226.0,AVE 3
1087,364.0,10
1088,7.0,BARELA
1089,23.0,LEROY
1090,26.0,PITT
1091,315.0,W 171
1092,303.0,6
1093,,BROOKLYN
1094,143.0,ELDRIDGE
1095,45.0,RIDGE
1096,44.0,GRAND
1097,341.0,AVE 6
1098,156.0,W 15
1099,191.0,WATE
1100,430.0,GREENWICH
1101,53.0,WATTS
1102,73.0,CANNON
1103,72.0,CANNON
1104,175.0,CHATHAM
1105,138.0,ATTORNEY
1106,,W MSBURG
1107,14.0,DEY
1108,189.0,WATER
1109,158.0,W 15
1110,681.0,WASHGT
1111,264.0,CANAL
1112,169.0,W 2IST
1113,256.0,FULTON
1114,113.0,ELDRIDGE
1115,1.0,WASHINGTON SQ
1116,142.0,NASSAU X 108 GRN
1117,268.0,DELANCEY
1118,8.0,DESBROSSES
1119,,12 & AVE C
1120,60.0,WEST
1121,312.0,STANTON
1122,120.0,AVE C
1123,20.0,LEONARD
1124,88.0,VANDAM
1125,16.0,AVE B
1126,,E 15 & AVE
1127,18.0,W 27
1128,172.0,DELANCEY
1129,279.0,3
1130,43.0,GREENWICH AVE
1131,207.0,12
1132,,W 27 & ALY 8
1133,48.0,HAMILTON
1134,74.0,BROOME
1135,638.0,HUDSON
1136,,BROOKLYN
1137,8.0,PELHAM
1138,188.0,LAURENS
1139,222.0,W 16
1140,13.0,CLINTON PL
1141,42.0,SOUTH
1142,108.0,ELDRDG
1143,15.0,
1144,152.0,MADISON
1145,152.0,MADISON
1146,13.0,ELIZABETH
1147,166.0,BROOME
1148,263.0,DIVISION
1149,223.0,VARICK
1150,258.0,STANTON
1151,443.0,BROADWAY AND 20
1152,443.0,BROAD
1153,272.0,G WICH
1154,47.0,WHITE
1155,181.0,DIVSN
1156,567.0,BROADWAY
1157,567.0,BROADWAY
1158,,
1159,47.0,WHITE
1160,59.0,AND 61 MAIDEN LN
1161,128.0,ORCHARD
1162,1164.0,AVE 7
1163,,
1164,,
1165,178.0,7
1166,183.0,FRANKLIN
1167,24.0,DELANCEY
1168,25.0,BRG
1169,,W 42D & AVE 7
